model,cntr,crop,component,dln
ipsl-cm6a-lr,HU,Spring barley,frost_mj,0.0138486895935894
ec-earth3,LT,Spring barley,frost_mj,0.0319995146628723
ipsl-cm6a-lr,LT,Spring barley,frost_mj,0.0251629264463512
ec-earth3,LV,Spring barley,frost_mj,0.0351856821672893
ipsl-cm6a-lr,LV,Spring barley,frost_mj,0.02766456926598
ec-earth3,SE,Spring barley,frost_mj,0.0353646654881636
ipsl-cm6a-lr,SE,Spring barley,frost_mj,0.0298112004919564
ec-earth3,SK,Spring barley,frost_mj,0.0173289586331846
ipsl-cm6a-lr,SK,Spring barley,frost_mj,0.0198987551358546
ec-earth3,CZ,Winter barley,frost_mj,0.0450665022964842
ipsl-cm6a-lr,CZ,Winter barley,frost_mj,0.0426507097291107
ec-earth3,DE,Winter barley,frost_mj,0.031741282727311
ipsl-cm6a-lr,DE,Winter barley,frost_mj,0.0323443710419926
ec-earth3,DK,Winter barley,frost_mj,0.0306229747467346
ipsl-cm6a-lr,DK,Winter barley,frost_mj,0.0311082867365102
ec-earth3,EE,Winter barley,frost_mj,0.076583818104752
ipsl-cm6a-lr,EE,Winter barley,frost_mj,0.0654550609591122
ec-earth3,EL,Winter barley,frost_mj,0.0135543704205124
ipsl-cm6a-lr,EL,Winter barley,frost_mj,0.011849806240833
ec-earth3,ES,Winter barley,frost_mj,0.014979867216447
ipsl-cm6a-lr,ES,Winter barley,frost_mj,0.0120682240461011
ec-earth3,FR,Winter barley,frost_mj,0.0153471718476469
ipsl-cm6a-lr,FR,Winter barley,frost_mj,0.0191518439022965
ec-earth3,HU,Winter barley,frost_mj,0.0202461565592189
ipsl-cm6a-lr,HU,Winter barley,frost_mj,0.02391699490521
ec-earth3,IT,Winter barley,frost_mj,0.00810064215443051
ipsl-cm6a-lr,IT,Winter barley,frost_mj,0.00953392676990822
ec-earth3,LT,Winter barley,frost_mj,0.0604224414811754
ipsl-cm6a-lr,LT,Winter barley,frost_mj,0.0474248239534575
ec-earth3,LV,Winter barley,frost_mj,0.0657112455232242
ipsl-cm6a-lr,LV,Winter barley,frost_mj,0.0522760686052878
ec-earth3,SE,Winter barley,frost_mj,0.058175633167336
ipsl-cm6a-lr,SE,Winter barley,frost_mj,0.0511767622795799
ec-earth3,SK,Winter barley,frost_mj,0.0334564790037503
ipsl-cm6a-lr,SK,Winter barley,frost_mj,0.0385350970487458
ec-earth3,CZ,Soft wheat,precip_mj,0.0302895529945249
ipsl-cm6a-lr,CZ,Soft wheat,precip_mj,0.00885779114514891
ec-earth3,DE,Soft wheat,precip_mj,0.0226088172420261
ipsl-cm6a-lr,DE,Soft wheat,precip_mj,0.0187280203050924
ec-earth3,DK,Soft wheat,precip_mj,0.0260595576189033
ipsl-cm6a-lr,DK,Soft wheat,precip_mj,0.018688713206413
ec-earth3,EE,Soft wheat,precip_mj,0.0550104752311335
ipsl-cm6a-lr,EE,Soft wheat,precip_mj,0.00188761490672949
ec-earth3,EL,Soft wheat,precip_mj,0.0140866813799724
ipsl-cm6a-lr,EL,Soft wheat,precip_mj,-0.00481780926357005
ec-earth3,ES,Soft wheat,precip_mj,-0.0221470909708816
ipsl-cm6a-lr,ES,Soft wheat,precip_mj,-0.0236815300995961
