model,bin_id,delta_sv,n_years,hos_year,component,dln
IPSL-CM6A-LR,-8.5,-8.5532,1,90,frost_mj,-0.0651484474029539
IPSL-CM6A-LR,-9.5,-9.0631,1,91,frost_mj,-0.041283600027604
IPSL-CM6A-LR,-9.5,-9.9064,1,92,frost_mj,-0.0449594872194929
IPSL-CM6A-LR,-7.5,-7.5646,1,93,frost_mj,-0.0970973703137351
IPSL-CM6A-LR,-8.5,-8.6305,1,94,frost_mj,-0.0699327242601594
IPSL-CM6A-LR,-9.5,-9.1749,1,95,frost_mj,-0.104820370040777
IPSL-CM6A-LR,-7.5,-7.8759,1,96,frost_mj,-0.0807938810914091
IPSL-CM6A-LR,-6.5,-6.2615,1,97,frost_mj,-0.0660100671648412
IPSL-CM6A-LR,-8.5,-8.9677,1,98,frost_mj,-0.0907957467604619
IPSL-CM6A-LR,-8.5,-8.8657,1,99,frost_mj,-0.0899054702413834
IPSL-CM6A-LR,-6.5,-6.9036,1,100,frost_mj,-0.0672842896753471
IPSL-CM6A-LR,-0.5,-0.7613,1,1,precip_mj,0.0444742591317386
IPSL-CM6A-LR,-0.5,-0.9061,1,2,precip_mj,-0.0364399988674451
IPSL-CM6A-LR,-2.5,-2.1752,1,3,precip_mj,0.0222438561167515
IPSL-CM6A-LR,-0.5,-0.979,1,5,precip_mj,0.0177349420889823
IPSL-CM6A-LR,-1.5,-1.6221,1,6,precip_mj,0.0261409239247309
IPSL-CM6A-LR,-1.5,-1.1701,1,7,precip_mj,0.00876655163733058
IPSL-CM6A-LR,-0.5,-0.5998,1,8,precip_mj,0.00244579846386335
IPSL-CM6A-LR,-0.5,-0.1997,1,9,precip_mj,-0.0259960823707588
IPSL-CM6A-LR,-0.5,-0.7418,1,10,precip_mj,-0.0632665086251211
IPSL-CM6A-LR,-2.5,-2.713,1,11,precip_mj,-0.0155181606216853
IPSL-CM6A-LR,-1.5,-1.3383,1,12,precip_mj,-0.0351140124127807
IPSL-CM6A-LR,-0.5,-0.4327,1,13,precip_mj,0.0126323242101278
IPSL-CM6A-LR,-0.5,-0.4569,1,14,precip_mj,-0.0597022518425538
IPSL-CM6A-LR,-1.5,-1.3271,1,15,precip_mj,-0.0223684171193572
IPSL-CM6A-LR,-1.5,-1.1959,1,16,precip_mj,-0.0373979431022558
IPSL-CM6A-LR,-2.5,-2.5833,1,17,precip_mj,-0.0775509787882892
IPSL-CM6A-LR,-2.5,-2.8658,1,18,precip_mj,-0.0142111917041121
IPSL-CM6A-LR,-1.5,-1.0916,1,19,precip_mj,0.00848592643685468
IPSL-CM6A-LR,-3.5,-3.2099,1,20,precip_mj,-0.022397510244904
IPSL-CM6A-LR,-2.5,-2.3795,1,21,precip_mj,-0.0471172781866178
IPSL-CM6A-LR,-3.5,-3.4662,1,22,precip_mj,-0.0246547559224745
IPSL-CM6A-LR,-2.5,-2.7286,1,23,precip_mj,-0.03190688698557
IPSL-CM6A-LR,-4.5,-4.0303,1,24,precip_mj,-0.0119863047219633
IPSL-CM6A-LR,-2.5,-2.8085,1,25,precip_mj,-0.0132034558058791
IPSL-CM6A-LR,-2.5,-2.5323,1,26,precip_mj,-0.0339463804412807
