model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-4.5,-4.5495,8,EE,Soft wheat,gdd_mj,0.0655696484069227
EC-Earth3,-3.5,-3.3459,9,EE,Soft wheat,gdd_mj,0.0600727163734374
EC-Earth3,-2.5,-2.4493,5,EE,Soft wheat,gdd_mj,0.0487308012554446
EC-Earth3,-1.5,-1.3807,6,EE,Soft wheat,gdd_mj,-0.000804090289939291
EC-Earth3,-0.5,-0.6596,3,EE,Soft wheat,gdd_mj,0.00444845449847529
HadGEM3-GC3-1LL,-8.5,-8.3848,12,EE,Soft wheat,gdd_mj,0.0485567530254073
HadGEM3-GC3-1LL,-7.5,-7.5599,19,EE,Soft wheat,gdd_mj,0.049104271039536
HadGEM3-GC3-1LL,-6.5,-6.5442,24,EE,Soft wheat,gdd_mj,0.0506236872205928
HadGEM3-GC3-1LL,-5.5,-5.5797,10,EE,Soft wheat,gdd_mj,0.039524533173966
HadGEM3-GC3-1LL,-4.5,-4.5263,6,EE,Soft wheat,gdd_mj,0.0288732970548695
HadGEM3-GC3-1LL,-3.5,-3.7835,7,EE,Soft wheat,gdd_mj,0.044254000566187
HadGEM3-GC3-1LL,-2.5,-2.4504,6,EE,Soft wheat,gdd_mj,0.0446591287302871
HadGEM3-GC3-1LL,-1.5,-1.3098,8,EE,Soft wheat,gdd_mj,0.0146828226809075
HadGEM3-GC3-1LL,-0.5,-0.331,6,EE,Soft wheat,gdd_mj,0.00925765110052255
HadGEM3-GC3-1MM,-14.5,-14.3032,4,EE,Soft wheat,gdd_mj,0.105595343366547
HadGEM3-GC3-1MM,-13.5,-13.3931,8,EE,Soft wheat,gdd_mj,0.134093728818472
HadGEM3-GC3-1MM,-12.5,-12.588,13,EE,Soft wheat,gdd_mj,0.140564932960424
HadGEM3-GC3-1MM,-11.5,-11.5321,21,EE,Soft wheat,gdd_mj,0.12977655197544
HadGEM3-GC3-1MM,-10.5,-10.4803,10,EE,Soft wheat,gdd_mj,0.12771017064418
HadGEM3-GC3-1MM,-9.5,-9.6161,7,EE,Soft wheat,gdd_mj,0.102986966309214
HadGEM3-GC3-1MM,-8.5,-8.6582,7,EE,Soft wheat,gdd_mj,0.0998784843246237
HadGEM3-GC3-1MM,-7.5,-7.6345,8,EE,Soft wheat,gdd_mj,0.0907766408462741
HadGEM3-GC3-1MM,-6.5,-6.4299,4,EE,Soft wheat,gdd_mj,0.0534194695807672
