model,bin_id,delta_sv,n_years,hos_year,fuel,component,dln,branch
IPSL-CM6A-LR,-1.5,-1.6221,1,6,Electricity,cdd_jja,-0.00486557187922603,energy Electricity
IPSL-CM6A-LR,-1.5,-1.1701,1,7,Electricity,cdd_jja,-0.00565091971742822,energy Electricity
IPSL-CM6A-LR,-0.5,-0.5998,1,8,Electricity,cdd_jja,0.0052689801697839,energy Electricity
IPSL-CM6A-LR,-0.5,-0.1997,1,9,Electricity,cdd_jja,0.0029867972422675,energy Electricity
IPSL-CM6A-LR,-0.5,-0.7418,1,10,Electricity,cdd_jja,0.00566942834816363,energy Electricity
IPSL-CM6A-LR,-2.5,-2.713,1,11,Electricity,cdd_jja,-0.000208310050099317,energy Electricity
IPSL-CM6A-LR,-1.5,-1.3383,1,12,Electricity,cdd_jja,0.00389663451225285,energy Electricity
IPSL-CM6A-LR,-0.5,-0.4327,1,13,Electricity,cdd_jja,-0.0064777177684582,energy Electricity
IPSL-CM6A-LR,-0.5,-0.4569,1,14,Electricity,cdd_jja,-0.00162320687524152,energy Electricity
IPSL-CM6A-LR,-1.5,-1.3271,1,15,Electricity,cdd_jja,-0.00313122159385156,energy Electricity
IPSL-CM6A-LR,-1.5,-1.1959,1,16,Electricity,cdd_jja,0.000815536719248648,energy Electricity
IPSL-CM6A-LR,-2.5,-2.5833,1,17,Electricity,cdd_jja,-0.0062711664907936,energy Electricity
IPSL-CM6A-LR,-2.5,-2.8658,1,18,Electricity,cdd_jja,-0.00154897489049517,energy Electricity
IPSL-CM6A-LR,-1.5,-1.0916,1,19,Electricity,cdd_jja,-0.00450654834213641,energy Electricity
IPSL-CM6A-LR,-3.5,-3.2099,1,20,Electricity,cdd_jja,-0.00341080898581554,energy Electricity
IPSL-CM6A-LR,-2.5,-2.3795,1,21,Electricity,cdd_jja,-0.00248510517625618,energy Electricity
IPSL-CM6A-LR,-3.5,-3.4662,1,22,Electricity,cdd_jja,-0.00512392353207259,energy Electricity
IPSL-CM6A-LR,-2.5,-2.7286,1,23,Electricity,cdd_jja,-0.00651735533069441,energy Electricity
IPSL-CM6A-LR,-4.5,-4.0303,1,24,Electricity,cdd_jja,0.00272359768834619,energy Electricity
IPSL-CM6A-LR,-2.5,-2.8085,1,25,Electricity,cdd_jja,-0.00495692322074707,energy Electricity
IPSL-CM6A-LR,-2.5,-2.5323,1,26,Electricity,cdd_jja,0.0016763979637647,energy Electricity
IPSL-CM6A-LR,-3.5,-3.0615,1,27,Electricity,cdd_jja,-0.000339123549733579,energy Electricity
IPSL-CM6A-LR,-2.5,-2.3161,1,28,Electricity,cdd_jja,0.00180460139820024,energy Electricity
IPSL-CM6A-LR,-3.5,-3.3374,1,29,Electricity,cdd_jja,0.000798768705795376,energy Electricity
IPSL-CM6A-LR,-4.5,-4.2179,1,30,Electricity,cdd_jja,0.00185536423219472,energy Electricity
IPSL-CM6A-LR,-5.5,-5.2566,1,31,Electricity,cdd_jja,-0.00113332477222243,energy Electricity
IPSL-CM6A-LR,-3.5,-3.6201,1,32,Electricity,cdd_jja,-0.00482962662354643,energy Electricity
IPSL-CM6A-LR,-4.5,-4.2133,1,33,Electricity,cdd_jja,-0.00868976668473656,energy Electricity
IPSL-CM6A-LR,-4.5,-4.3351,1,34,Electricity,cdd_jja,0.00111146493487912,energy Electricity
IPSL-CM6A-LR,-4.5,-4.2314,1,35,Electricity,cdd_jja,-0.00240917073851831,energy Electricity
IPSL-CM6A-LR,-4.5,-4.229,1,36,Electricity,cdd_jja,-0.00482464319233813,energy Electricity
IPSL-CM6A-LR,-3.5,-3.7165,1,37,Electricity,cdd_jja,-0.00159249811248836,energy Electricity
IPSL-CM6A-LR,-5.5,-5.1443,1,38,Electricity,cdd_jja,-0.00322023595133373,energy Electricity
IPSL-CM6A-LR,-4.5,-4.9696,1,39,Electricity,cdd_jja,-0.00313791354224028,energy Electricity
IPSL-CM6A-LR,-3.5,-3.7356,1,40,Electricity,cdd_jja,-0.00539520573260551,energy Electricity
IPSL-CM6A-LR,-4.5,-4.1062,1,41,Electricity,cdd_jja,0.000503998141623167,energy Electricity
IPSL-CM6A-LR,-4.5,-4.777,1,42,Electricity,cdd_jja,-0.002680097119406,energy Electricity
IPSL-CM6A-LR,-5.5,-5.5255,1,43,Electricity,cdd_jja,-0.00760272747105805,energy Electricity
IPSL-CM6A-LR,-5.5,-5.6091,1,44,Electricity,cdd_jja,-0.0047513825789055,energy Electricity
IPSL-CM6A-LR,-5.5,-5.0614,1,45,Electricity,cdd_jja,-0.00420326016539759,energy Electricity
IPSL-CM6A-LR,-4.5,-4.0228,1,46,Electricity,cdd_jja,-0.004149591009319,energy Electricity
IPSL-CM6A-LR,-3.5,-3.5681,1,47,Electricity,cdd_jja,-0.00875598232665609,energy Electricity
IPSL-CM6A-LR,-4.5,-4.7253,1,48,Electricity,cdd_jja,-0.00235884259029201,energy Electricity
IPSL-CM6A-LR,-5.5,-5.7852,1,49,Electricity,cdd_jja,-0.00485014925815171,energy Electricity
IPSL-CM6A-LR,-5.5,-5.6439,1,50,Electricity,cdd_jja,-0.00455918239285367,energy Electricity
IPSL-CM6A-LR,-5.5,-5.7916,1,51,Electricity,cdd_jja,-0.00550703699450315,energy Electricity
IPSL-CM6A-LR,-7.5,-7.5335,1,52,Electricity,cdd_jja,-0.000563785323693087,energy Electricity
IPSL-CM6A-LR,-6.5,-6.8874,1,53,Electricity,cdd_jja,-0.00226113932575312,energy Electricity
IPSL-CM6A-LR,-5.5,-5.5267,1,54,Electricity,cdd_jja,-0.00931291172185666,energy Electricity
IPSL-CM6A-LR,-5.5,-5.319,1,55,Electricity,cdd_jja,-0.00325459405758157,energy Electricity
IPSL-CM6A-LR,-5.5,-5.9791,1,56,Electricity,cdd_jja,-0.00852034706040653,energy Electricity
IPSL-CM6A-LR,-8.5,-8.0124,1,57,Electricity,cdd_jja,-0.00673480289275376,energy Electricity
IPSL-CM6A-LR,-6.5,-6.674,1,58,Electricity,cdd_jja,-0.00547267264238143,energy Electricity
IPSL-CM6A-LR,-5.5,-5.697,1,59,Electricity,cdd_jja,-0.00356330825694281,energy Electricity
