model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-3.5,-3.4737,8,HU,Durum wheat,gdd_mj,-0.301952811677172
EC-Earth3,-2.5,-2.5448,11,HU,Durum wheat,gdd_mj,-0.224356098041899
IPSL-CM6A-LR,-5.5,-5.3985,4,HU,Durum wheat,gdd_mj,-0.242701193379722
IPSL-CM6A-LR,-4.5,-4.3046,12,HU,Durum wheat,gdd_mj,-0.223896251390619
IPSL-CM6A-LR,-3.5,-3.5013,7,HU,Durum wheat,gdd_mj,-0.197781168086861
IPSL-CM6A-LR,-2.5,-2.2964,6,HU,Durum wheat,gdd_mj,-0.193695313301166
EC-Earth3,-4.5,-4.5546,8,IT,Durum wheat,gdd_mj,-0.263040194118175
EC-Earth3,-3.5,-3.4737,8,IT,Durum wheat,gdd_mj,-0.262332820457961
EC-Earth3,-2.5,-2.5448,11,IT,Durum wheat,gdd_mj,-0.231265143887471
IPSL-CM6A-LR,-5.5,-5.3985,4,IT,Durum wheat,gdd_mj,-0.21115060613303
IPSL-CM6A-LR,-4.5,-4.3046,12,IT,Durum wheat,gdd_mj,-0.194947553298227
IPSL-CM6A-LR,-3.5,-3.5013,7,IT,Durum wheat,gdd_mj,-0.170929001241916
IPSL-CM6A-LR,-2.5,-2.2964,6,IT,Durum wheat,gdd_mj,-0.156163131054635
EC-Earth3,-4.5,-4.5546,8,RO,Durum wheat,gdd_mj,-0.2427520327365
EC-Earth3,-3.5,-3.4737,8,RO,Durum wheat,gdd_mj,-0.292369481945466
EC-Earth3,-2.5,-2.5448,11,RO,Durum wheat,gdd_mj,-0.212345536272262
IPSL-CM6A-LR,-5.5,-5.3985,4,RO,Durum wheat,gdd_mj,-0.249042762727251
IPSL-CM6A-LR,-4.5,-4.3046,12,RO,Durum wheat,gdd_mj,-0.228069999330966
IPSL-CM6A-LR,-3.5,-3.5013,7,RO,Durum wheat,gdd_mj,-0.192868374044252
IPSL-CM6A-LR,-2.5,-2.2964,6,RO,Durum wheat,gdd_mj,-0.205243674157982
EC-Earth3,-4.5,-4.5546,8,SK,Durum wheat,gdd_mj,-0.238082236481914
EC-Earth3,-3.5,-3.4737,8,SK,Durum wheat,gdd_mj,-0.301660350590329
EC-Earth3,-2.5,-2.5448,11,SK,Durum wheat,gdd_mj,-0.212837579819628
IPSL-CM6A-LR,-5.5,-5.3985,4,SK,Durum wheat,gdd_mj,-0.243796671612491
IPSL-CM6A-LR,-4.5,-4.3046,12,SK,Durum wheat,gdd_mj,-0.223677371638141
IPSL-CM6A-LR,-3.5,-3.5013,7,SK,Durum wheat,gdd_mj,-0.205059979766175
IPSL-CM6A-LR,-2.5,-2.2964,6,SK,Durum wheat,gdd_mj,-0.187194625737426
EC-Earth3,-4.5,-4.5546,8,CZ,Spring barley,gdd_mj,-0.33156909962564
EC-Earth3,-3.5,-3.4737,8,CZ,Spring barley,gdd_mj,-0.433993014016792
EC-Earth3,-2.5,-2.5448,11,CZ,Spring barley,gdd_mj,-0.295272419770232
IPSL-CM6A-LR,-5.5,-5.3985,4,CZ,Spring barley,gdd_mj,-0.367452873097846
IPSL-CM6A-LR,-4.5,-4.3046,12,CZ,Spring barley,gdd_mj,-0.334413067413494
IPSL-CM6A-LR,-3.5,-3.5013,7,CZ,Spring barley,gdd_mj,-0.331950377035372
IPSL-CM6A-LR,-2.5,-2.2964,6,CZ,Spring barley,gdd_mj,-0.273005082376738
EC-Earth3,-4.5,-4.5546,8,DE,Spring barley,gdd_mj,-0.325741407822785
EC-Earth3,-3.5,-3.4737,8,DE,Spring barley,gdd_mj,-0.409031401186318
EC-Earth3,-2.5,-2.5448,11,DE,Spring barley,gdd_mj,-0.283189437208803
IPSL-CM6A-LR,-5.5,-5.3985,4,DE,Spring barley,gdd_mj,-0.360809605074396
IPSL-CM6A-LR,-4.5,-4.3046,12,DE,Spring barley,gdd_mj,-0.307031540686346
IPSL-CM6A-LR,-3.5,-3.5013,7,DE,Spring barley,gdd_mj,-0.332533738259423
IPSL-CM6A-LR,-2.5,-2.2964,6,DE,Spring barley,gdd_mj,-0.240556318085244
EC-Earth3,-4.5,-4.5546,8,DK,Spring barley,gdd_mj,-0.296592121964757
EC-Earth3,-3.5,-3.4737,8,DK,Spring barley,gdd_mj,-0.372575069889659
EC-Earth3,-2.5,-2.5448,11,DK,Spring barley,gdd_mj,-0.260029456121578
IPSL-CM6A-LR,-5.5,-5.3985,4,DK,Spring barley,gdd_mj,-0.333077988670959
IPSL-CM6A-LR,-4.5,-4.3046,12,DK,Spring barley,gdd_mj,-0.252845393905351
IPSL-CM6A-LR,-3.5,-3.5013,7,DK,Spring barley,gdd_mj,-0.305648642655943
IPSL-CM6A-LR,-2.5,-2.2964,6,DK,Spring barley,gdd_mj,-0.204206132563022
EC-Earth3,-4.5,-4.5546,8,EE,Spring barley,gdd_mj,-0.314809188245545
EC-Earth3,-3.5,-3.4737,8,EE,Spring barley,gdd_mj,-0.397411129041153
EC-Earth3,-2.5,-2.5448,11,EE,Spring barley,gdd_mj,-0.245509388623196
IPSL-CM6A-LR,-5.5,-5.3985,4,EE,Spring barley,gdd_mj,-0.415317654644946
IPSL-CM6A-LR,-4.5,-4.3046,12,EE,Spring barley,gdd_mj,-0.34534775940037
IPSL-CM6A-LR,-3.5,-3.5013,7,EE,Spring barley,gdd_mj,-0.351501457729492
IPSL-CM6A-LR,-2.5,-2.2964,6,EE,Spring barley,gdd_mj,-0.245886306860262
EC-Earth3,-4.5,-4.5546,8,ES,Spring barley,gdd_mj,-0.470512806739272
EC-Earth3,-3.5,-3.4737,8,ES,Spring barley,gdd_mj,-0.458219447716373
EC-Earth3,-2.5,-2.5448,11,ES,Spring barley,gdd_mj,-0.433539190428877
IPSL-CM6A-LR,-5.5,-5.3985,4,ES,Spring barley,gdd_mj,-0.368420943930774
IPSL-CM6A-LR,-4.5,-4.3046,12,ES,Spring barley,gdd_mj,-0.34707229847427
IPSL-CM6A-LR,-3.5,-3.5013,7,ES,Spring barley,gdd_mj,-0.298687949510745
IPSL-CM6A-LR,-2.5,-2.2964,6,ES,Spring barley,gdd_mj,-0.282338784022773
