model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-2.5,-2.5562,17,EE,Spring barley,gdd,-0.000341116792152623
EC-Earth3,-1.5,-1.5166,7,EE,Spring barley,gdd,-0.000109668242519212
IPSL-CM6A-LR,-3.5,-3.4513,9,EE,Spring barley,gdd,-0.000332521406665156
IPSL-CM6A-LR,-2.5,-2.5185,16,EE,Spring barley,gdd,-0.000306906840049788
IPSL-CM6A-LR,-1.5,-1.7768,5,EE,Spring barley,gdd,-1.95517312662218e-05
EC-Earth3,-3.5,-3.2771,5,ES,Spring barley,gdd,-0.000285468209506148
EC-Earth3,-2.5,-2.5562,17,ES,Spring barley,gdd,-0.000136323183820176
EC-Earth3,-1.5,-1.5166,7,ES,Spring barley,gdd,-0.000253113773389625
IPSL-CM6A-LR,-3.5,-3.4513,9,ES,Spring barley,gdd,-7.2826953149778e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,ES,Spring barley,gdd,-0.000239746128084916
IPSL-CM6A-LR,-1.5,-1.7768,5,ES,Spring barley,gdd,-8.92546130147925e-05
EC-Earth3,-3.5,-3.2771,5,FI,Spring barley,gdd,-0.000409934056709257
EC-Earth3,-2.5,-2.5562,17,FI,Spring barley,gdd,-0.000514883957764396
EC-Earth3,-1.5,-1.5166,7,FI,Spring barley,gdd,-0.000138753940780309
IPSL-CM6A-LR,-3.5,-3.4513,9,FI,Spring barley,gdd,-0.000438668238865806
IPSL-CM6A-LR,-2.5,-2.5185,16,FI,Spring barley,gdd,-0.000513688270289581
IPSL-CM6A-LR,-1.5,-1.7768,5,FI,Spring barley,gdd,-0.00035391651682533
EC-Earth3,-3.5,-3.2771,5,FR,Spring barley,gdd,-8.43655044943404e-05
EC-Earth3,-2.5,-2.5562,17,FR,Spring barley,gdd,-0.000100193931738888
EC-Earth3,-1.5,-1.5166,7,FR,Spring barley,gdd,0.00011832710135969
IPSL-CM6A-LR,-3.5,-3.4513,9,FR,Spring barley,gdd,7.33674485864246e-06
IPSL-CM6A-LR,-2.5,-2.5185,16,FR,Spring barley,gdd,0.000125545037953142
IPSL-CM6A-LR,-1.5,-1.7768,5,FR,Spring barley,gdd,0.000311594627112648
EC-Earth3,-3.5,-3.2771,5,HU,Spring barley,gdd,5.71914769806996e-05
EC-Earth3,-2.5,-2.5562,17,HU,Spring barley,gdd,-0.000558865419876663
EC-Earth3,-1.5,-1.5166,7,HU,Spring barley,gdd,-0.000343510286324402
IPSL-CM6A-LR,-3.5,-3.4513,9,HU,Spring barley,gdd,-0.00030793743868508
IPSL-CM6A-LR,-2.5,-2.5185,16,HU,Spring barley,gdd,-0.000140411818375604
IPSL-CM6A-LR,-1.5,-1.7768,5,HU,Spring barley,gdd,-0.000577470001755612
EC-Earth3,-3.5,-3.2771,5,LT,Spring barley,gdd,6.60537730043412e-05
EC-Earth3,-2.5,-2.5562,17,LT,Spring barley,gdd,-7.75438493455609e-05
EC-Earth3,-1.5,-1.5166,7,LT,Spring barley,gdd,0.000143554352819435
IPSL-CM6A-LR,-3.5,-3.4513,9,LT,Spring barley,gdd,-7.53190345118528e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,LT,Spring barley,gdd,-7.93652937384781e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,LT,Spring barley,gdd,-4.09308823050471e-05
EC-Earth3,-3.5,-3.2771,5,LV,Spring barley,gdd,-0.000283936120221308
EC-Earth3,-2.5,-2.5562,17,LV,Spring barley,gdd,-8.30999119780604e-05
EC-Earth3,-1.5,-1.5166,7,LV,Spring barley,gdd,0.000292726719679797
IPSL-CM6A-LR,-3.5,-3.4513,9,LV,Spring barley,gdd,-0.000213880275948777
IPSL-CM6A-LR,-2.5,-2.5185,16,LV,Spring barley,gdd,-0.00015211569310232
IPSL-CM6A-LR,-1.5,-1.7768,5,LV,Spring barley,gdd,-0.00012562146608697
EC-Earth3,-3.5,-3.2771,5,SE,Spring barley,gdd,0.00029712287486599
EC-Earth3,-2.5,-2.5562,17,SE,Spring barley,gdd,-0.000311896294554069
EC-Earth3,-1.5,-1.5166,7,SE,Spring barley,gdd,2.81547164044297e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,SE,Spring barley,gdd,-5.73014974118241e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,SE,Spring barley,gdd,0.000106316456850021
IPSL-CM6A-LR,-1.5,-1.7768,5,SE,Spring barley,gdd,-8.20107384464684e-05
EC-Earth3,-3.5,-3.2771,5,SK,Spring barley,gdd,-0.000276909920670754
EC-Earth3,-2.5,-2.5562,17,SK,Spring barley,gdd,-0.000608949770460399
EC-Earth3,-1.5,-1.5166,7,SK,Spring barley,gdd,-0.000164642600743769
IPSL-CM6A-LR,-3.5,-3.4513,9,SK,Spring barley,gdd,-0.000800778172520492
IPSL-CM6A-LR,-2.5,-2.5185,16,SK,Spring barley,gdd,-0.000735866989431143
IPSL-CM6A-LR,-1.5,-1.7768,5,SK,Spring barley,gdd,-0.000688432058527272
EC-Earth3,-3.5,-3.2771,5,CZ,Winter barley,gdd,-6.49939825491603e-06
EC-Earth3,-2.5,-2.5562,17,CZ,Winter barley,gdd,2.01914076792067e-05
EC-Earth3,-1.5,-1.5166,7,CZ,Winter barley,gdd,2.77695865216192e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,CZ,Winter barley,gdd,1.90938170254836e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,CZ,Winter barley,gdd,1.47637731975238e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,CZ,Winter barley,gdd,2.22646045791627e-05
EC-Earth3,-3.5,-3.2771,5,DE,Winter barley,gdd,-2.78289716659478e-05
EC-Earth3,-2.5,-2.5562,17,DE,Winter barley,gdd,2.28752721780951e-05
EC-Earth3,-1.5,-1.5166,7,DE,Winter barley,gdd,-4.61474828646809e-06
IPSL-CM6A-LR,-3.5,-3.4513,9,DE,Winter barley,gdd,1.18138475816132e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,DE,Winter barley,gdd,-1.87341653036246e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,DE,Winter barley,gdd,-2.75021304879195e-05
EC-Earth3,-3.5,-3.2771,5,DK,Winter barley,gdd,-1.80584484277724e-05
EC-Earth3,-2.5,-2.5562,17,DK,Winter barley,gdd,2.28800112649549e-05
EC-Earth3,-1.5,-1.5166,7,DK,Winter barley,gdd,5.84521282517563e-06
IPSL-CM6A-LR,-3.5,-3.4513,9,DK,Winter barley,gdd,4.11868947251701e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,DK,Winter barley,gdd,-2.55792053064795e-06
IPSL-CM6A-LR,-1.5,-1.7768,5,DK,Winter barley,gdd,-4.62511866186083e-06
EC-Earth3,-3.5,-3.2771,5,EE,Winter barley,gdd,1.83117546028848e-05
EC-Earth3,-2.5,-2.5562,17,EE,Winter barley,gdd,4.6987755581509e-05
EC-Earth3,-1.5,-1.5166,7,EE,Winter barley,gdd,1.71843086959462e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,EE,Winter barley,gdd,4.72366453575041e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,EE,Winter barley,gdd,4.56327688867592e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,EE,Winter barley,gdd,-1.49234732583152e-07
EC-Earth3,-3.5,-3.2771,5,EL,Winter barley,gdd,2.52579970281329e-05
EC-Earth3,-2.5,-2.5562,17,EL,Winter barley,gdd,2.41575750178968e-05
EC-Earth3,-1.5,-1.5166,7,EL,Winter barley,gdd,1.98179554334901e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,EL,Winter barley,gdd,2.06935726794038e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,EL,Winter barley,gdd,1.15366752891128e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,EL,Winter barley,gdd,7.33876833963185e-05
EC-Earth3,-3.5,-3.2771,5,ES,Winter barley,gdd,2.06579032521887e-05
EC-Earth3,-2.5,-2.5562,17,ES,Winter barley,gdd,1.16923467612351e-05
EC-Earth3,-1.5,-1.5166,7,ES,Winter barley,gdd,5.03918844957446e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,ES,Winter barley,gdd,8.23373877224917e-06
IPSL-CM6A-LR,-2.5,-2.5185,16,ES,Winter barley,gdd,4.07664325881646e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,ES,Winter barley,gdd,1.37345210789241e-05
EC-Earth3,-3.5,-3.2771,5,FR,Winter barley,gdd,1.53524006899976e-05
EC-Earth3,-2.5,-2.5562,17,FR,Winter barley,gdd,2.11801477305565e-05
EC-Earth3,-1.5,-1.5166,7,FR,Winter barley,gdd,-1.14211821267789e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,FR,Winter barley,gdd,3.59033527616067e-06
IPSL-CM6A-LR,-2.5,-2.5185,16,FR,Winter barley,gdd,4.88264369643501e-06
IPSL-CM6A-LR,-1.5,-1.7768,5,FR,Winter barley,gdd,-3.78737879148724e-05
EC-Earth3,-3.5,-3.2771,5,HU,Winter barley,gdd,1.9404680518562e-05
EC-Earth3,-2.5,-2.5562,17,HU,Winter barley,gdd,7.05897607071671e-05
EC-Earth3,-1.5,-1.5166,7,HU,Winter barley,gdd,5.18835285219262e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,HU,Winter barley,gdd,3.40876946650946e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,HU,Winter barley,gdd,4.04334449830588e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,HU,Winter barley,gdd,7.37573634431542e-05
EC-Earth3,-3.5,-3.2771,5,IT,Winter barley,gdd,3.10948064475814e-05
EC-Earth3,-2.5,-2.5562,17,IT,Winter barley,gdd,3.84738188082508e-05
EC-Earth3,-1.5,-1.5166,7,IT,Winter barley,gdd,2.32971493470988e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,IT,Winter barley,gdd,4.34030095833563e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,IT,Winter barley,gdd,3.62167839547617e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,IT,Winter barley,gdd,3.56070316591293e-05
EC-Earth3,-3.5,-3.2771,5,LT,Winter barley,gdd,-3.05652430441268e-06
EC-Earth3,-2.5,-2.5562,17,LT,Winter barley,gdd,7.2839191183785e-06
EC-Earth3,-1.5,-1.5166,7,LT,Winter barley,gdd,-1.95613045835425e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,LT,Winter barley,gdd,6.96944204425446e-06
IPSL-CM6A-LR,-2.5,-2.5185,16,LT,Winter barley,gdd,8.75770358074495e-06
IPSL-CM6A-LR,-1.5,-1.7768,5,LT,Winter barley,gdd,1.40580345457408e-05
EC-Earth3,-3.5,-3.2771,5,LV,Winter barley,gdd,3.52097289174452e-05
EC-Earth3,-2.5,-2.5562,17,LV,Winter barley,gdd,1.56329834120016e-05
EC-Earth3,-1.5,-1.5166,7,LV,Winter barley,gdd,-5.44524935811023e-05
IPSL-CM6A-LR,-3.5,-3.4513,9,LV,Winter barley,gdd,1.3589228161927e-05
IPSL-CM6A-LR,-2.5,-2.5185,16,LV,Winter barley,gdd,1.35713064446907e-05
IPSL-CM6A-LR,-1.5,-1.7768,5,LV,Winter barley,gdd,1.94780352707932e-05
EC-Earth3,-3.5,-3.2771,5,SE,Winter barley,gdd,-3.76368443962484e-05
