model,exp,cntr,year,hdd_calendar,hdd_octmar,cdd_jja
EC-Earth3,g01,DK,2011,3260.42,2887.9,5.17
EC-Earth3,g01,DK,2012,3532.33,2407.74,10.87
EC-Earth3,g01,DK,2013,3499.03,2818.84,19.86
EC-Earth3,g01,DK,2014,2949.74,2231.91,41.19
EC-Earth3,g01,DK,2015,3194.1,2253.53,10.72
EC-Earth3,g01,DK,2016,3301.87,2357.53,16.96
EC-Earth3,g01,DK,2017,3259.17,2477.47,1.25
EC-Earth3,g01,DK,2018,3206.06,2557.84,69.85
EC-Earth3,g01,DK,2019,3123.29,2281.57,31.5
EC-Earth3,g01,DK,2020,2988.66,2211.64,37.23
EC-Earth3,g01,DK,2021,3392.19,2416.79,23.49
EC-Earth3,g01,DK,2022,3116.44,2306.47,36.28
EC-Earth3,g01,DK,2023,3163.74,2284.28,11.56
EC-Earth3,g01,DK,2024,3027.84,2416.69,12.03
EC-Earth3,g01,EE,1990,4086,3028.08,7.58
EC-Earth3,g01,EE,1991,4248.58,3228.69,18.48
EC-Earth3,g01,EE,1992,4237.63,2927.54,30.55
EC-Earth3,g01,EE,1993,4638.28,3269.64,3.7
EC-Earth3,g01,EE,1994,4648.87,3786.98,52.15
EC-Earth3,g01,EE,1995,4321.99,3155.51,23.17
EC-Earth3,g01,EE,1996,4896.34,3792.84,16.75
EC-Earth3,g01,EE,1997,4485.9,3189.68,53.64
EC-Earth3,g01,EE,1998,4554.14,3391.9,6.99
EC-Earth3,g01,EE,1999,4230.9,3541.59,50.38
EC-Earth3,g01,EE,2000,3990,3113.91,6.86
EC-Earth3,g01,EE,2001,4400.89,3074.48,40.4
EC-Earth3,g01,EE,2002,4387.04,3217.16,48.27
EC-Earth3,g01,EE,2003,4524.99,3891.75,44.49
EC-Earth3,g01,EE,2004,4379.04,3356.8,16.19
EC-Earth3,g01,EE,2005,4366.72,3387.55,22.77
EC-Earth3,g01,EE,2006,4214.19,3525.15,53.06
EC-Earth3,g01,EE,2007,4112.8,2954.76,32.02
EC-Earth3,g01,EE,2008,3920.74,2945.62,5.79
EC-Earth3,g01,EE,2009,4359.54,3114.79,10.84
EC-Earth3,g01,EE,2010,4903.74,3797.03,90.36
EC-Earth3,g01,EE,2011,4123.7,3752.32,57.3
EC-Earth3,g01,EE,2012,4620.06,3228.97,15.35
EC-Earth3,g01,EE,2013,4215.71,3608.39,34.49
EC-Earth3,g01,EE,2014,4188.46,2984.07,62.45
EC-Earth3,g01,EE,2015,3854.05,3001.92,16.37
EC-Earth3,g01,EE,2016,4239.33,3116.13,16.18
EC-Earth3,g01,EE,2017,4258.62,3220.93,5.47
EC-Earth3,g01,EE,2018,4140.41,3330.81,79.73
EC-Earth3,g01,EE,2019,3948.59,3102.07,35.9
EC-Earth3,g01,EE,2020,3618.32,2706.95,28.24
EC-Earth3,g01,EE,2021,4326.22,3091.78,88.32
EC-Earth3,g01,EE,2022,4145.13,3125.42,73.39
EC-Earth3,g01,EE,2023,4065.08,3098.42,34.38
EC-Earth3,g01,EE,2024,3789.01,3350.46,32.81
EC-Earth3,g01,EL,1990,1615.47,1485.94,321.13
EC-Earth3,g01,EL,1991,1942.08,1463.78,289.26
EC-Earth3,g01,EL,1992,1865.17,1717.23,292.43
EC-Earth3,g01,EL,1993,1806.33,1604.62,345.2
EC-Earth3,g01,EL,1994,1581.21,1337.36,365.32
EC-Earth3,g01,EL,1995,1728.78,1419.26,333.35
EC-Earth3,g01,EL,1996,1820.18,1654.75,327.56
EC-Earth3,g01,EL,1997,1823.81,1415.84,318.53
EC-Earth3,g01,EL,1998,1715.42,1524.04,454.11
EC-Earth3,g01,EL,1999,1582.35,1520.1,423.7
