model,cntr,country_id,component,dln,fuel
ec-earth3,LU,LUX,hdd_octmar,-0.104235730746968,Natural gas
ipsl-cm6a-lr,LU,LUX,hdd_octmar,-0.1049806864702,Natural gas
ec-earth3,LV,LVA,hdd_octmar,-0.142188918557942,Natural gas
ipsl-cm6a-lr,LV,LVA,hdd_octmar,-0.142050623959078,Natural gas
ec-earth3,NL,NLD,hdd_octmar,-0.0946818306555369,Natural gas
ipsl-cm6a-lr,NL,NLD,hdd_octmar,-0.0966127472932394,Natural gas
ec-earth3,PL,POL,hdd_octmar,-0.129781545420783,Natural gas
ipsl-cm6a-lr,PL,POL,hdd_octmar,-0.129840566546658,Natural gas
ec-earth3,PT,PRT,hdd_octmar,-0.062464975504995,Natural gas
ipsl-cm6a-lr,PT,PRT,hdd_octmar,-0.0600432907660023,Natural gas
ec-earth3,RO,ROU,hdd_octmar,-0.134056030601467,Natural gas
ipsl-cm6a-lr,RO,ROU,hdd_octmar,-0.110606705835842,Natural gas
ec-earth3,SE,SWE,hdd_octmar,-0.135396198673248,Natural gas
ipsl-cm6a-lr,SE,SWE,hdd_octmar,-0.123390235322154,Natural gas
ec-earth3,SI,SVN,hdd_octmar,-0.117208557681815,Natural gas
ipsl-cm6a-lr,SI,SVN,hdd_octmar,-0.107525042568855,Natural gas
ec-earth3,SK,SVK,hdd_octmar,-0.133817424887407,Natural gas
ipsl-cm6a-lr,SK,SVK,hdd_octmar,-0.119707614653048,Natural gas
ec-earth3,UK,GBR,hdd_octmar,-0.084640592962429,Natural gas
ipsl-cm6a-lr,UK,GBR,hdd_octmar,-0.0745748871275016,Natural gas
