eobs_cell_id,cntr,pop,w_pop
44799,PL,16108,0.000435216010934546
40131,PL,16081,0.000434486508060493
41546,PL,15986,0.000431919738688828
42006,PL,15931,0.000430433714315759
43839,PL,15890,0.000429325950692198
44308,PL,15867,0.000428704522318006
48044,PL,15790,0.000426624088195709
39687,PL,15758,0.000425759492196832
45251,PL,15652,0.000422895517950553
48509,PL,15532,0.000419653282954766
41519,PL,15314,0.000413763222712418
45256,PL,15305,0.000413520055087734
39228,PL,15037,0.000406279063597142
45729,PL,14993,0.000405090244098687
40603,PL,14846,0.000401118506228847
43376,PL,14800,0.000399875649480462
46655,PL,14707,0.000397362917358726
40598,PL,14689,0.000396876582109358
40624,PL,14622,0.00039506633423671
47118,PL,14462,0.000390743354242327
41056,PL,14425,0.000389743665118626
40144,PL,14408,0.000389284348494222
45696,PL,14318,0.000386852672247382
43842,PL,14308,0.000386582485997733
39670,PL,14275,0.000385690871373891
39673,PL,14213,0.000384015716626068
43406,PL,14188,0.000383340251001945
48501,PL,14132,0.000381827208003911
41543,PL,14107,0.000381151742379789
46194,PL,14025,0.000378936215132667
43837,PL,13964,0.000377288079009808
39692,PL,13854,0.00037431603026367
42476,PL,13706,0.000370317273768865
41517,PL,13631,0.000368290876896498
41083,PL,13450,0.000363400505777852
41089,PL,13347,0.000360617587406468
40137,PL,13206,0.000356807961286417
40604,PL,13152,0.000355348955538313
42941,PL,12814,0.000346216660300178
44767,PL,12685,0.000342731257679706
42912,PL,12589,0.000340137469683076
41081,PL,12475,0.000337057346437078
40147,PL,12457,0.00033657101118771
42008,PL,12425,0.000335706415188833
43871,PL,12314,0.00033270734781773
40611,PL,12298,0.000332275049818292
40599,PL,12254,0.000331086230319836
40134,PL,12157,0.000328465423698241
40153,PL,12147,0.000328195237448592
40145,PL,12122,0.00032751977182447
44302,PL,12047,0.000325493374952103
41075,PL,11799,0.000318792755960809
48507,PL,11668,0.000315253316090407
40619,PL,11638,0.00031444275734146
41548,PL,11604,0.000313524124092654
39696,PL,11546,0.00031195704384469
41084,PL,11472,0.000309957665597288
42477,PL,11430,0.000308822883348762
