model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-4.5,-4.5495,8,ES,Soft wheat,gdd,-0.000372291981611392
EC-Earth3,-3.5,-3.3459,9,ES,Soft wheat,gdd,-0.000281795542989703
EC-Earth3,-2.5,-2.4493,5,ES,Soft wheat,gdd,-0.000295862252237576
EC-Earth3,-1.5,-1.3807,6,ES,Soft wheat,gdd,-0.000230294569116826
EC-Earth3,-0.5,-0.6596,3,ES,Soft wheat,gdd,4.9937873727547e-05
HadGEM3-GC3-1LL,-8.5,-8.3848,12,ES,Soft wheat,gdd,-0.000320315589218923
HadGEM3-GC3-1LL,-7.5,-7.5599,19,ES,Soft wheat,gdd,-0.000312590643687072
HadGEM3-GC3-1LL,-6.5,-6.5442,24,ES,Soft wheat,gdd,-0.000144079897598529
HadGEM3-GC3-1LL,-5.5,-5.5797,10,ES,Soft wheat,gdd,-0.000259129990645631
HadGEM3-GC3-1LL,-4.5,-4.5263,6,ES,Soft wheat,gdd,-0.000233968747359738
HadGEM3-GC3-1LL,-3.5,-3.7835,7,ES,Soft wheat,gdd,-0.000418110384706908
HadGEM3-GC3-1LL,-2.5,-2.4504,6,ES,Soft wheat,gdd,-0.000117674388911933
HadGEM3-GC3-1LL,-1.5,-1.3098,8,ES,Soft wheat,gdd,-6.77259664006678e-05
HadGEM3-GC3-1LL,-0.5,-0.331,6,ES,Soft wheat,gdd,-4.25091965841004e-05
HadGEM3-GC3-1MM,-14.5,-14.3032,4,ES,Soft wheat,gdd,-7.65172288509946e-05
HadGEM3-GC3-1MM,-13.5,-13.3931,8,ES,Soft wheat,gdd,0.000194756537674531
HadGEM3-GC3-1MM,-12.5,-12.588,13,ES,Soft wheat,gdd,-0.000705403985951549
HadGEM3-GC3-1MM,-11.5,-11.5321,21,ES,Soft wheat,gdd,-0.000781300704201668
HadGEM3-GC3-1MM,-10.5,-10.4803,10,ES,Soft wheat,gdd,-0.000478374729910822
HadGEM3-GC3-1MM,-9.5,-9.6161,7,ES,Soft wheat,gdd,-0.000430811297262862
HadGEM3-GC3-1MM,-8.5,-8.6582,7,ES,Soft wheat,gdd,-0.000636151678794522
HadGEM3-GC3-1MM,-7.5,-7.6345,8,ES,Soft wheat,gdd,-0.000435758777687886
HadGEM3-GC3-1MM,-6.5,-6.4299,4,ES,Soft wheat,gdd,-0.000259396168470982
