NUTS_ID,nuts_level,crop,year,area_ha,production_t,yield_t_ha,area_source,area_ha_alt
ITH42,3,Durum wheat,1995,1500,6354,4.24,CropStatHarm,421.86
ITH42,3,Durum wheat,1996,1400,5796,4.14,CropStatHarm,1343.47
ITH42,3,Durum wheat,1997,100,400,4,CropStatHarm,68.05
ITH42,3,Durum wheat,1998,100,400,4,CropStatHarm,125.7
ITH42,3,Durum wheat,1999,100,400,4,CropStatHarm,70.36
ITH42,3,Durum wheat,2000,100,400,4,CropStatHarm,28.75
ITH42,3,Durum wheat,2001,100,400,4,CropStatHarm,94.63
ITH42,3,Durum wheat,2002,100,450,4.5,CropStatHarm,38.83
ITH42,3,Durum wheat,2003,600,2280,3.8,CropStatHarm,442.22
ITH42,3,Durum wheat,2004,500,2850,5.7,CropStatHarm,346.41
ITH42,3,Durum wheat,2005,400,2280,5.7,CropStatHarm,266.3
ITH42,3,Durum wheat,2006,350,1400,4,CropStatHarm,244.27
ITH42,3,Durum wheat,2007,300,1260,4.2,CropStatHarm,291.44
ITH42,3,Durum wheat,2008,300,1260,4.2,CropStatHarm,111.39
ITH42,3,Durum wheat,2011,186,856.8,4.61,CropStatHarm,172.24
ITH42,3,Durum wheat,2012,186,856.8,4.61,CropStatHarm,181.61
ITH42,3,Durum wheat,2013,186,856.8,4.61,CropStatHarm,173.44
ITH42,3,Durum wheat,2014,185,851.1,4.6,CropStatHarm,93.16
ITH42,3,Durum wheat,2015,70,350,5,CropStatHarm,71.22
ITH42,3,Durum wheat,2016,35,173.3,4.95,CropStatHarm,20.67
ITH42,3,Durum wheat,2017,208,1069,5.14,CropStatHarm,217.13
ITH42,3,Durum wheat,2018,206,974.3,4.73,CropStatHarm,228.9
ITH42,3,Durum wheat,2019,175,719.9,4.11,CropStatHarm,191.51
ITH42,3,Durum wheat,2020,19,68.1,3.58,CropStatHarm,13.41
ITH42,3,Durum wheat,2021,19,75.2,3.96,CropStatHarm,37.98
ITH42,3,Durum wheat,2022,107,393.4,3.68,CropStatHarm,190.3
ITH42,3,Total barley,2000,2800,12040,4.3,CropStatHarm,2783.8
ITH42,3,Total barley,2001,2300,11500,5,CropStatHarm,2300.14
ITH42,3,Total barley,2002,3000,13500,4.5,CropStatHarm,2973.2
ITH42,3,Total barley,2003,3500,14000,4,CropStatHarm,3481.68
ITH42,3,Total barley,2004,3500,14700,4.2,CropStatHarm,3484.74
ITH42,3,Total barley,2005,4284,17992.8,4.2,CropStatHarm,4211.99
ITH42,3,Total barley,2006,3200,19200,6,CropStatHarm,3170.47
ITH42,3,Total barley,2007,5500,27500,5,CropStatHarm,5520.77
ITH42,3,Total barley,2008,5950,29750,5,CropStatHarm,5601.62
ITH42,3,Total barley,2009,5950,29950,5.03,CropStatHarm,6104.14
ITH42,3,Total barley,2010,4919,21800,4.43,CropStatHarm,4870.27
