branch,model,bin_id,component,crop,n,mean,sd,lo,hi,central
crop,IPSL-CM6A-LR,-3.5,heat_mj,Winter barley,7,0.0867159336408846,0.0348647773500647,0.0484977649878847,0.157330600824754,0.0804443037865162
crop,IPSL-CM6A-LR,-3.5,precip_mj,Winter barley,7,-0.0127264509858049,0.0319082127476095,-0.0671361696842674,0.0317133559548154,-0.012856600013475
crop,IPSL-CM6A-LR,-3.5,precip_mj2,Winter barley,7,0.0020249127221986,0.0321505157846172,-0.0506882750417369,0.0513952213677994,0.00992341850005493
crop,IPSL-CM6A-LR,-2.5,frost_mj,ALL,6,0.0268836294349476,0.00839448905242988,0.0189392800519435,0.0399381395025507,0.029925510868588
crop,IPSL-CM6A-LR,-2.5,gdd_mj,ALL,6,-0.180190608074446,0.0486591608156946,-0.26096201970014,-0.116153919985623,-0.180279738302243
crop,IPSL-CM6A-LR,-2.5,heat_mj,ALL,6,-0.0492133524192656,0.0184779265938651,-0.0822534903321034,-0.0298044629481038,-0.0451936172295116
crop,IPSL-CM6A-LR,-2.5,precip_mj,ALL,6,-0.00803505109750234,0.0331863934637259,-0.0415574919393107,0.0486655900052827,-0.0083380134472656
crop,IPSL-CM6A-LR,-2.5,precip_mj2,ALL,6,-0.00553459294789343,0.0280300966958947,-0.0563994950917807,0.0248475420285925,0.0056734122498426
crop,IPSL-CM6A-LR,-2.5,frost_mj,Durum wheat,6,0.0167251717078908,0.00429340451921901,0.0133639713318646,0.0239219509403105,0.0184367914011471
crop,IPSL-CM6A-LR,-2.5,gdd_mj,Durum wheat,6,-0.158307424027497,0.0488007402914795,-0.242718832443808,-0.112976668931321,-0.161271444254297
crop,IPSL-CM6A-LR,-2.5,heat_mj,Durum wheat,6,0.0490845576867734,0.0222638534668298,0.0271022721086402,0.0849572737324152,0.0470084725367262
crop,IPSL-CM6A-LR,-2.5,precip_mj,Durum wheat,6,-0.020541896748049,0.0815924608906583,-0.144547572916727,0.0779822328710522,-0.0214877664093073
crop,IPSL-CM6A-LR,-2.5,precip_mj2,Durum wheat,6,-0.00190732829716963,0.0572194428737666,-0.0708543316560508,0.0777479344539329,0.0167256793294043
crop,IPSL-CM6A-LR,-2.5,frost_mj,Soft wheat,6,0.0297382149581528,0.00957357619698785,0.020907616107667,0.0445701939306193,0.0331382752114792
crop,IPSL-CM6A-LR,-2.5,gdd_mj,Soft wheat,6,-0.134887979087662,0.0352648808519539,-0.190791907947376,-0.0867664440697123,-0.134707787590656
crop,IPSL-CM6A-LR,-2.5,heat_mj,Soft wheat,6,-0.079135539616978,0.0290523488807172,-0.129669626220011,-0.0446931525389271,-0.0727328504885018
crop,IPSL-CM6A-LR,-2.5,precip_mj,Soft wheat,6,-0.00865859646385742,0.035380217295571,-0.0488780970501393,0.0523038293837661,-0.00885604254440703
crop,IPSL-CM6A-LR,-2.5,precip_mj2,Soft wheat,6,-0.00317425939818245,0.0328346942634024,-0.0621215359606798,0.0341557058051676,0.00677418934368545
crop,IPSL-CM6A-LR,-2.5,frost_mj,Spring barley,6,0.0231026918341341,0.00701026822446007,0.0119862137577031,0.0322207315265659,0.0254778984166572
crop,IPSL-CM6A-LR,-2.5,gdd_mj,Spring barley,6,-0.259109373131784,0.0743950931776725,-0.383491010869074,-0.161664276356839,-0.258375664186088
crop,IPSL-CM6A-LR,-2.5,heat_mj,Spring barley,6,-0.0903942924280508,0.0379489350246044,-0.162074288876055,-0.0599555415083026,-0.0837543752189244
crop,IPSL-CM6A-LR,-2.5,precip_mj,Spring barley,6,0.00177927048724836,0.0168232181284601,-0.015527209506891,0.0285287498074612,0.00151360326884651
crop,IPSL-CM6A-LR,-2.5,precip_mj2,Spring barley,6,-0.0169922924210619,0.0171674366799876,-0.0370176138230282,0.00023129582158398,-0.00464366669733114
crop,IPSL-CM6A-LR,-2.5,frost_mj,Winter barley,6,0.0279221356173622,0.00981492085232745,0.0195872128018837,0.0435511439115976,0.0314106729957926
crop,IPSL-CM6A-LR,-2.5,gdd_mj,Winter barley,6,-0.270227194226039,0.0709057506508198,-0.388580608934429,-0.174669257666094,-0.270511234467878
crop,IPSL-CM6A-LR,-2.5,heat_mj,Winter barley,6,0.0617781564758491,0.0238949423193134,0.0372194936896699,0.106163657389685,0.0566398891877606
crop,IPSL-CM6A-LR,-2.5,precip_mj,Winter barley,6,-0.0104046981709435,0.0382143227600344,-0.0519494437141767,0.0524746945352325,-0.010728018087149
crop,IPSL-CM6A-LR,-2.5,precip_mj2,Winter barley,6,-0.0015054061022378,0.0345100633891087,-0.0600284125554598,0.0328899207312808,0.00785327972054148
crop_gddwin,EC-Earth3,-4.5,frost,ALL,8,-0.00190167832041311,0.00122801014002971,-0.00370788895565632,0.000328013352626842,-0.00187300130107835
crop_gddwin,EC-Earth3,-4.5,gdd,ALL,8,0.000220765755160138,0.000185892381589828,-0.000113254772774963,0.000463480378820378,0.000259115358422466
crop_gddwin,EC-Earth3,-4.5,heat,ALL,8,-0.0149168549274656,0.0119326269590359,-0.0385980279172243,0.000966807504527067,-0.0114111541446297
crop_gddwin,EC-Earth3,-4.5,precip,ALL,8,0.0140341074989912,0.0404070243404779,-0.0392727478653324,0.0776544043985656,0.0149247125645718
