DATAFLOW,LAST UPDATE,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2007,19204.100,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2008,19513.600,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2009,19525.800,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2010,19790.300,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2011,18967.300,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2012,19193.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2013,19237.600,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2014,18285.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2015,18157.700,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2016,18016.900,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2017,17634.700,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2018,17425.700,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2019,17221.500,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2020,17509.400,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2021,17567.100,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2022,16196.600,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2023,15873.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Belgium,2024,16315.200,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Bulgaria,1990,10474.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Bulgaria,1991,10405.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Bulgaria,1992,9998.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Bulgaria,1993,10021.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Bulgaria,1994,9806.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Bulgaria,1995,10956.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Bulgaria,1996,11486.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Bulgaria,1997,9882.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Bulgaria,1998,10540.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Bulgaria,1999,10115.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Bulgaria,2000,9858.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Bulgaria,2001,9751.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Bulgaria,2002,9306.000,,
ESTAT:NRG_BAL_C(1.0),30/04/26 23:00:00,Annual,Final consumption - other sectors - households - energy use,Electricity,Gigawatt-hour,Bulgaria,2003,9311.000,,
