NUTS_ID,cntr,crop,year,yield_t_ha,ln_yield,area_ha,production_t,gdd_aa,gdd_mj,heat_aa,heat_mj,frost_aa,frost_mj,precip_aa,precip_mj
ITH52,IT,Total barley,2020,5.08,1.62531126159039,1910,9710,2093.341,1637.151,133.961,70.916,1.94,4.162,389.272,398.358
ITH52,IT,Total barley,2021,6,1.79175946922806,1392,8352,2015.25,1577.732,167.834,106.016,3.827,13.088,259.479,242.211
ITH52,IT,Total barley,2022,5,1.6094379124341,1514,7570,2265.041,1774.949,278.336,206.867,1.721,15.815,287.148,217.957
ITH52,IT,Total wheat,1995,5.27,1.66203036255327,28070,147889,1816.573,1401.924,86.605,69.377,1.855,14.762,366.071,294.97
ITH52,IT,Total wheat,1996,5.3,1.66770682055808,28200,149380,1759.739,1367.466,68.198,54.246,0.794,13.28,334.124,300.434
ITH52,IT,Total wheat,1997,4.7,1.54756250871601,23150,108782.5,1840.851,1465.109,59.845,38.612,4.546,9.023,331.806,301.886
ITH52,IT,Total wheat,1998,6,1.79175946922806,24120,144810,2012.022,1535.104,189.913,107.653,0.884,13.097,338.952,327.992
ITH52,IT,Total wheat,1999,4.49,1.50185270175416,23600,106002,1965.261,1536.419,131.019,90.105,0.391,6.836,381.12,388.867
ITH52,IT,Total wheat,2000,5.88,1.77155676191054,21750,127860,2019.724,1576.862,153.009,71.375,0.415,5.76,313.482,381.868
ITH52,IT,Total wheat,2001,4.76,1.56024766824333,18800,89485,2080.809,1710.857,181.825,95.786,0.548,1.711,318.037,533.5
ITH52,IT,Total wheat,2002,5.28,1.66392609771817,21080,111391,1915.203,1561.759,122.131,97.125,0.147,4.173,440.057,349.372
ITH52,IT,Total wheat,2003,5.16,1.64093657949347,17980,92689,2280.696,1758.993,352.294,198.513,3.8,11.113,212.844,214.259
ITH52,IT,Total wheat,2004,6.11,1.8099267731835,17830,109001,1905.236,1451.686,116.445,75.288,0.476,12.314,298.045,355.731
ITH52,IT,Total wheat,2005,5.91,1.77664583141801,17880,105657,1939.63,1593.52,124.001,113.412,0.73,11.447,356.463,296.118
ITH52,IT,Total wheat,2006,6.28,1.83736998048011,17700,111177,2030.498,1647.411,164.846,153.237,0.162,12.827,227.954,183.757
ITH52,IT,Total wheat,2007,4.49,1.50185270175416,22500,100981,2134.617,1741.479,146.887,107.97,0,3.903,241.277,322.153
ITH52,IT,Total wheat,2008,4.42,1.48613969608961,26200,115713,2011.015,1565.362,136.914,77.157,0,5.749,389.834,425.405
ITH52,IT,Total wheat,2009,5.05,1.61938824328727,19350,97640,2191.868,1715.703,188.649,102.874,0,4.273,280.393,388.003
ITH52,IT,Total wheat,2010,5.75,1.74919985480926,16250,93508,2007.14,1599.567,127.22,97.44,0.155,10.666,450.04,441.222
ITH52,IT,Total wheat,2011,5.07,1.62334081760309,14780,74930,2129.58,1650.389,151.939,61.427,0,6.98,228.724,340.833
ITH52,IT,Total wheat,2012,6.78,1.9139771019523,16330,110790,2154.026,1727.072,255.75,139.301,0.588,3.093,292.668,296.699
ITH52,IT,Total wheat,2013,6.07,1.80335860507141,15820,96083,1979.055,1488.369,164.688,99.805,0,7.881,402.328,598.959
ITH52,IT,Total wheat,2014,5.89,1.7732559976635,15800,92988,1923.337,1578.879,69.225,53.701,0,0.728,413.2,481.372
ITH52,IT,Total wheat,2015,5.46,1.69744878975681,17930,97915.5,2186.624,1742.643,222.54,154.269,1.426,5.924,234.87,258.838
ITH52,IT,Total wheat,2016,5.83,1.7630170003624,19700,114880,2008.915,1575.421,135.775,94.354,0.115,5.072,256.403,323.79
ITH52,IT,Total wheat,2017,5.96,1.78507048107726,19800,117910,2228.316,1800.612,247.935,134.003,1.523,2.553,202.083,229.689
ITH52,IT,Total wheat,2018,6.09,1.80664808172181,20300,123569,2165.105,1664.84,138.146,75.959,0,9.892,354.99,507.012
ITH52,IT,Total wheat,2019,5.26,1.66013102674962,19700,103668,2130.377,1665.092,154.401,108.327,0.169,2.547,511.803,500.804
ITH52,IT,Total wheat,2020,5.08,1.62531126159039,19800,100631,2093.341,1637.151,133.961,70.916,1.94,4.162,389.272,398.358
ITH52,IT,Total wheat,2021,7.5,2.01490302054226,17245,129337.5,2015.25,1577.732,167.834,106.016,3.827,13.088,259.479,242.211
ITH52,IT,Total wheat,2022,5.28,1.66392609771817,18362,96908.5,2265.041,1774.949,278.336,206.867,1.721,15.815,287.148,217.957
ITH52,IT,Winter barley,2006,5.45,1.69561560867515,4100,22360,2030.498,1647.411,164.846,153.237,0.162,12.827,227.954,183.757
ITH52,IT,Winter barley,2007,4.08,1.40609698841607,3800,15500,2134.617,1741.479,146.887,107.97,0,3.903,241.277,322.153
ITH52,IT,Winter barley,2008,4.08,1.40609698841607,3040,12406,2011.015,1565.362,136.914,77.157,0,5.749,389.834,425.405
ITH52,IT,Winter barley,2009,4.57,1.51951320490611,2430,11110,2191.868,1715.703,188.649,102.874,0,4.273,280.393,388.003
ITH52,IT,Winter barley,2010,5.24,1.65632149833295,1500,7860,2007.14,1599.567,127.22,97.44,0.155,10.666,450.04,441.222
ITH52,IT,Winter barley,2011,5.04,1.61740608208328,1810,9124,2129.58,1650.389,151.939,61.427,0,6.98,228.724,340.833
ITH52,IT,Winter barley,2012,6.49,1.870262530716,1950,12650,2154.026,1727.072,255.75,139.301,0.588,3.093,292.668,296.699
ITH52,IT,Winter barley,2013,5.61,1.72455071953461,1640,9200,1979.055,1488.369,164.688,99.805,0,7.881,402.328,598.959
ITH52,IT,Winter barley,2014,5.81,1.75958057086382,1560,9060,1923.337,1578.879,69.225,53.701,0,0.728,413.2,481.372
ITH52,IT,Winter barley,2016,5.4,1.68639895357023,1620,8748,2008.915,1575.421,135.775,94.354,0.115,5.072,256.403,323.79
ITH52,IT,Winter barley,2017,5,1.6094379124341,1600,8003,2228.316,1800.612,247.935,134.003,1.523,2.553,202.083,229.689
ITH52,IT,Winter barley,2018,5.1,1.62924053973028,1680,8563,2165.105,1664.84,138.146,75.959,0,9.892,354.99,507.012
ITH52,IT,Winter barley,2019,5.16,1.64093657949347,2020,10433,2130.377,1665.092,154.401,108.327,0.169,2.547,511.803,500.804
ITH52,IT,Winter barley,2020,5.08,1.62531126159039,1910,9710,2093.341,1637.151,133.961,70.916,1.94,4.162,389.272,398.358
ITH53,IT,Durum wheat,1995,5,1.6094379124341,100,500.1,1939.836,1508.588,125.813,96.517,0.863,10.016,372.273,291.355
ITH53,IT,Durum wheat,1996,5.5,1.70474809223843,100,550,1885.82,1471.934,96.036,69.814,0.589,12.42,283.305,276.19
ITH53,IT,Durum wheat,1997,5.26,1.66013102674962,110,578,1921.624,1546.658,97.597,56.925,2.393,7.364,242.969,236.882
ITH53,IT,Durum wheat,1998,5.52,1.708377860289,350,1932,2095.546,1607.397,229.7,134.43,0.378,9.973,242.725,242.627
ITH53,IT,Durum wheat,1999,5.43,1.69193913394584,340,1845,2051.785,1614.003,173.906,110.992,0.068,6.092,294.224,286.637
ITH53,IT,Durum wheat,2000,5.6,1.7227665977411,250,1400,2073.4,1632.313,198.878,96.961,0.338,3.697,236.455,271.711
ITH53,IT,Durum wheat,2001,5.9,1.77495235091167,200,1180,2163.472,1763.907,269.025,150.369,0.938,2.539,282.039,428.776
ITH53,IT,Durum wheat,2002,5.8,1.75785791755237,400,2320,2021.783,1654.419,182.877,139.782,0,6.175,410.866,305.02
ITH53,IT,Durum wheat,2006,5.93,1.78002421300963,110,652,2095.688,1705.724,194.159,177.229,0.626,13.091,220.925,195.288
ITH53,IT,Durum wheat,2007,5.15,1.63899671467564,385,1982.5,2235.442,1835.264,202.908,150.986,0,2.859,210.368,301.299
ITH53,IT,Durum wheat,2008,5.44,1.69377906086785,1470,7995,2105.998,1642.572,191.52,109.366,0,4.314,361.778,398.992
ITH53,IT,Durum wheat,2009,5.64,1.72988406550997,1110,6263,2282.741,1793.604,246.938,139.372,0,4.565,251.534,340.581
ITH53,IT,Durum wheat,2010,5.85,1.76644166124377,1325,7745,2102.324,1681.08,177.022,131.345,0.074,10.965,399.603,401.048
ITH53,IT,Durum wheat,2011,4.69,1.54543258245819,550,2580,2227.677,1734.653,208.629,95.059,0,6.789,201.3,286.93
ITH53,IT,Durum wheat,2012,5.4,1.68639895357023,485,2619,2260.722,1817.491,327.7,187.667,0.67,3.019,231.584,243.213
ITH53,IT,Durum wheat,2013,5.63,1.7281094421516,450,2534,2096.225,1591.238,217.029,133.51,0,7.392,314.744,503.17
ITH53,IT,Durum wheat,2014,5.8,1.75785791755237,325,1885,2032.643,1677.167,102.368,76.039,0,0.473,387.68,447.378
ITH53,IT,Durum wheat,2015,5.98,1.78842056796254,805,4815,2284.527,1827.539,284.779,197.233,1.362,5.506,244.014,270.01
ITH53,IT,Durum wheat,2016,5.5,1.70474809223843,1250,6875,2141.251,1700.474,183.317,125.781,0.257,3.904,248.575,312.076
ITH53,IT,Durum wheat,2017,5.35,1.67709656090792,890,4760,2330.462,1892.088,327.287,190.634,1.438,2.481,177.025,199.77
ITH53,IT,Durum wheat,2018,5.8,1.75785791755237,1000,5800,2262.991,1753.73,190.851,105.538,0,9.505,318.521,437.905
ITH53,IT,Durum wheat,2019,5.9,1.77495235091167,710,4190,2212.555,1746.075,215.748,146.249,0.6,3.527,517.912,498.097
ITH53,IT,Durum wheat,2020,5.97,1.78674692740451,570,3400,2175.443,1697.239,171.608,93.134,2.533,5.525,366.538,349.804
ITH53,IT,Durum wheat,2021,7.3,1.98787434815435,566,4131.8,2134.119,1682.896,238.857,155.299,3.882,13.842,217.052,199.032
ITH53,IT,Durum wheat,2022,6,1.79175946922806,820,4920,2356.176,1854.412,357.967,266.779,1.14,15.459,280.864,212.49
ITH53,IT,Soft wheat,1995,5.3,1.66770682055808,16500,87445.6,1939.836,1508.588,125.813,96.517,0.863,10.016,372.273,291.355
ITH53,IT,Soft wheat,1996,5.65,1.73165554515835,17000,95980,1885.82,1471.934,96.036,69.814,0.589,12.42,283.305,276.19
ITH53,IT,Soft wheat,1997,5.25,1.65822807660353,17500,91840,1921.624,1546.658,97.597,56.925,2.393,7.364,242.969,236.882
ITH53,IT,Soft wheat,1998,5.88,1.77155676191054,17750,104350,2095.546,1607.397,229.7,134.43,0.378,9.973,242.725,242.627
ITH53,IT,Soft wheat,1999,5.9,1.77495235091167,17800,105080,2051.785,1614.003,173.906,110.992,0.068,6.092,294.224,286.637
