model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
EC-Earth3,-3.5,-3.4737,8,MT,MLT,hdd_calendar,-0.0373995804136839,Electricity
EC-Earth3,-2.5,-2.5448,11,MT,MLT,hdd_calendar,-0.0330819252695314,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,MT,MLT,hdd_calendar,-0.0359847623769002,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,MT,MLT,hdd_calendar,-0.0310743429336463,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,MT,MLT,hdd_calendar,-0.0303351567989066,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,MT,MLT,hdd_calendar,-0.0268544802589014,Electricity
EC-Earth3,-4.5,-4.5546,8,NL,NLD,hdd_calendar,-0.0709113723366634,Electricity
EC-Earth3,-3.5,-3.4737,8,NL,NLD,hdd_calendar,-0.0762421132964399,Electricity
EC-Earth3,-2.5,-2.5448,11,NL,NLD,hdd_calendar,-0.0603637526046132,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,NL,NLD,hdd_calendar,-0.0760798284598732,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,NL,NLD,hdd_calendar,-0.0629844094836144,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,NL,NLD,hdd_calendar,-0.066564647449764,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,NL,NLD,hdd_calendar,-0.056429067557151,Electricity
EC-Earth3,-4.5,-4.5546,8,NO,NOR,hdd_calendar,-0.108143897604522,Electricity
EC-Earth3,-3.5,-3.4737,8,NO,NOR,hdd_calendar,-0.121765908229743,Electricity
EC-Earth3,-2.5,-2.5448,11,NO,NOR,hdd_calendar,-0.0914903085668447,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,NO,NOR,hdd_calendar,-0.0989898362347571,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,NO,NOR,hdd_calendar,-0.0916232378713576,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,NO,NOR,hdd_calendar,-0.0893712119212201,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,NO,NOR,hdd_calendar,-0.077857469012021,Electricity
EC-Earth3,-4.5,-4.5546,8,PL,POL,hdd_calendar,-0.0895890020114099,Electricity
EC-Earth3,-3.5,-3.4737,8,PL,POL,hdd_calendar,-0.099094826528128,Electricity
EC-Earth3,-2.5,-2.5448,11,PL,POL,hdd_calendar,-0.0725386193725304,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,PL,POL,hdd_calendar,-0.0999874583637606,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,PL,POL,hdd_calendar,-0.0847795221087439,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,PL,POL,hdd_calendar,-0.0800535051092761,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,PL,POL,hdd_calendar,-0.0794543167635833,Electricity
EC-Earth3,-4.5,-4.5546,8,PT,PRT,hdd_calendar,-0.04104333928927,Electricity
EC-Earth3,-3.5,-3.4737,8,PT,PRT,hdd_calendar,-0.0419014154700278,Electricity
EC-Earth3,-2.5,-2.5448,11,PT,PRT,hdd_calendar,-0.038503219079478,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,PT,PRT,hdd_calendar,-0.0394248709553695,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,PT,PRT,hdd_calendar,-0.0383532542471574,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,PT,PRT,hdd_calendar,-0.0378622806437532,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,PT,PRT,hdd_calendar,-0.0312661391873432,Electricity
EC-Earth3,-4.5,-4.5546,8,RO,ROU,hdd_calendar,-0.0870146243616719,Electricity
EC-Earth3,-3.5,-3.4737,8,RO,ROU,hdd_calendar,-0.0903858695780314,Electricity
EC-Earth3,-2.5,-2.5448,11,RO,ROU,hdd_calendar,-0.0735920449700858,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,RO,ROU,hdd_calendar,-0.0835929808223452,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,RO,ROU,hdd_calendar,-0.0700723632729158,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,RO,ROU,hdd_calendar,-0.0642458772708743,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,RO,ROU,hdd_calendar,-0.0671879166509574,Electricity
EC-Earth3,-4.5,-4.5546,8,SE,SWE,hdd_calendar,-0.0993831444489791,Electricity
EC-Earth3,-3.5,-3.4737,8,SE,SWE,hdd_calendar,-0.1136653097344,Electricity
EC-Earth3,-2.5,-2.5448,11,SE,SWE,hdd_calendar,-0.0853342577916123,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,SE,SWE,hdd_calendar,-0.0986019704429857,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,SE,SWE,hdd_calendar,-0.0910399667474896,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,SE,SWE,hdd_calendar,-0.0860851629823324,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,SE,SWE,hdd_calendar,-0.0784605714286542,Electricity
EC-Earth3,-4.5,-4.5546,8,SI,SVN,hdd_calendar,-0.0827353892408467,Electricity
EC-Earth3,-3.5,-3.4737,8,SI,SVN,hdd_calendar,-0.0886864545293946,Electricity
EC-Earth3,-2.5,-2.5448,11,SI,SVN,hdd_calendar,-0.0703462550465862,Electricity
IPSL-CM6A-LR,-5.5,-5.4831,4,SI,SVN,hdd_calendar,-0.0834052731630982,Electricity
IPSL-CM6A-LR,-4.5,-4.3892,12,SI,SVN,hdd_calendar,-0.0722739722616529,Electricity
IPSL-CM6A-LR,-3.5,-3.5859,7,SI,SVN,hdd_calendar,-0.0689097723729863,Electricity
IPSL-CM6A-LR,-2.5,-2.381,6,SI,SVN,hdd_calendar,-0.0644386545839109,Electricity
EC-Earth3,-4.5,-4.5546,8,SK,SVK,hdd_calendar,-0.0916531898332689,Electricity
