model,NUTS_ID,year,window,gdd,heat,frost,precip
ec-earth3,AL015,1990,Mar-Jul,1667.415,114.583,6.212,238.629
ec-earth3,AL015,1991,Apr-Aug,1909.572,179.663,1.041,266.338
ec-earth3,AL015,1991,Mar-Jul,1503.159,112.644,2.853,295.959
ec-earth3,AL015,1992,Apr-Aug,2125.398,254.854,0.693,307.479
ec-earth3,AL015,1992,Mar-Jul,1553.72,76.518,12.968,380.303
ec-earth3,AL015,1993,Apr-Aug,2196.861,278.013,1.64,164.329
ec-earth3,AL015,1993,Mar-Jul,1659.653,125.151,15.55,360.675
ec-earth3,AL015,1994,Apr-Aug,2222.373,304.797,0.591,292.903
ec-earth3,AL015,1994,Mar-Jul,1736.016,153.005,4.172,276.524
ec-earth3,AL015,1995,Apr-Aug,2030.224,166.273,3.971,369.151
ec-earth3,AL015,1995,Mar-Jul,1568.567,118.332,13.44,443.461
ec-earth3,AL015,1996,Apr-Aug,2089.264,206.609,2.589,264.013
ec-earth3,AL015,1996,Mar-Jul,1574.919,111.88,17.503,413.804
ec-earth3,AL015,1997,Apr-Aug,2005.338,170.624,9.185,211.963
ec-earth3,AL015,1997,Mar-Jul,1557.372,119.874,19.862,231.385
ec-earth3,AL015,1998,Apr-Aug,2214.377,333.073,0.214,274.702
ec-earth3,AL015,1998,Mar-Jul,1656.596,178.962,16.423,234.754
ec-earth3,AL015,1999,Apr-Aug,2239.814,283.441,0.107,285.036
ec-earth3,AL015,1999,Mar-Jul,1719.325,137.959,8.228,343.346
ec-earth3,AL015,2000,Apr-Aug,2322.885,347.049,1.103,169.139
ec-earth3,AL015,2000,Mar-Jul,1784.217,184.648,14.632,262.099
ec-earth3,AL015,2001,Apr-Aug,2266.921,312.146,1.725,259.329
ec-earth3,AL015,2001,Mar-Jul,1829.185,148.029,2.907,305.894
ec-earth3,AL015,2002,Apr-Aug,2220.281,182.124,0.791,290.233
ec-earth3,AL015,2002,Mar-Jul,1829.052,137.875,3.925,294.455
ec-earth3,AL015,2003,Apr-Aug,2432.148,425.922,4.189,133.817
ec-earth3,AL015,2003,Mar-Jul,1867.145,245.906,17.49,126.27
ec-earth3,AL015,2004,Apr-Aug,2106.152,199.171,0,306.937
ec-earth3,AL015,2004,Mar-Jul,1650.851,123.621,7.459,416.951
ec-earth3,AL015,2005,Apr-Aug,2160.237,204.116,2.697,188.774
ec-earth3,AL015,2005,Mar-Jul,1713.408,139.495,14.903,265.028
ec-earth3,AL015,2006,Apr-Aug,2147.657,235.984,0.107,328.847
ec-earth3,AL015,2006,Mar-Jul,1692.504,162.766,8.515,444.452
ec-earth3,AL015,2007,Apr-Aug,2410.303,408.615,0.428,139.362
ec-earth3,AL015,2007,Mar-Jul,1920.979,256.962,2.912,271.922
ec-earth3,AL015,2008,Apr-Aug,2260.931,306.097,0.428,222.904
ec-earth3,AL015,2008,Mar-Jul,1753.657,164.34,4.494,394.835
ec-earth3,AL015,2009,Apr-Aug,2298.455,255.563,0,278.882
ec-earth3,AL015,2009,Mar-Jul,1764.077,134.956,8.97,406.126
ec-earth3,AL015,2010,Apr-Aug,2241.833,269.394,0.268,258.101
ec-earth3,AL015,2010,Mar-Jul,1726.309,128.374,8.732,365.234
ec-earth3,AL015,2011,Apr-Aug,2265.791,303.534,0.781,169.073
ec-earth3,AL015,2011,Mar-Jul,1732.246,128.009,10.211,242.018
ec-earth3,AL015,2012,Apr-Aug,2392.953,463.958,2.271,246.309
ec-earth3,AL015,2012,Mar-Jul,1870.953,272.421,10.339,253.678
ec-earth3,AL015,2013,Apr-Aug,2308.712,288.306,0,263.036
ec-earth3,AL015,2013,Mar-Jul,1791.624,147.876,6.29,535.124
ec-earth3,AL015,2014,Apr-Aug,2098.832,182.102,0.533,369.028
ec-earth3,AL015,2014,Mar-Jul,1645.248,81.761,3.69,438.928
ec-earth3,AL015,2015,Apr-Aug,2331.999,397.128,2.247,149.062
ec-earth3,AL015,2015,Mar-Jul,1784.319,226.738,10.067,268.646
ec-earth3,AL015,2016,Apr-Aug,2309.395,275.404,0.161,315.453
ec-earth3,AL015,2016,Mar-Jul,1824.608,166.381,3.675,479.003
ec-earth3,AL015,2017,Apr-Aug,2383.254,437.595,1.867,187.181
ec-earth3,AL015,2017,Mar-Jul,1911.341,228.415,3.544,282.429
ec-earth3,AL015,2018,Apr-Aug,2475.741,290.33,0.054,265.723
ec-earth3,AL015,2018,Mar-Jul,1962.07,143.552,5.595,645.23
ec-earth3,AL015,2019,Apr-Aug,2294.872,360.261,0.055,382.528
ec-earth3,AL015,2019,Mar-Jul,1816.16,190.413,3.721,411.948
ec-earth3,AL015,2020,Apr-Aug,2259.079,305.289,2.392,188.954
ec-earth3,AL015,2020,Mar-Jul,1766.813,163.316,6.713,288.719
ec-earth3,AL015,2021,Apr-Aug,2303.688,454,3.589,202.552
ec-earth3,AL015,2021,Mar-Jul,1744.232,267.628,14.14,280.831
ec-earth3,AL015,2022,Apr-Aug,2452.928,452.605,1.322,250.503
ec-earth3,AL015,2022,Mar-Jul,1901.425,298.074,15.33,289.742
ec-earth3,AL015,2023,Apr-Aug,2292.657,355.882,1.611,321.536
ec-earth3,AL015,2023,Mar-Jul,1816.428,214.833,4.558,417.24
ec-earth3,AL021,1989,Apr-Aug,2094.71,126.711,0.002,248.74
ec-earth3,AL021,1989,Mar-Jul,1694.342,54.459,0.747,258.454
ec-earth3,AL021,1990,Apr-Aug,2178.025,198.107,0.003,149.077
ec-earth3,AL021,1990,Mar-Jul,1777.307,116.299,3.969,145.891
ec-earth3,AL021,1991,Apr-Aug,1974.037,171.247,0.114,206.841
ec-earth3,AL021,1991,Mar-Jul,1549.056,110.164,1.673,264.767
ec-earth3,AL021,1992,Apr-Aug,2167.558,240.44,0.138,218.084
ec-earth3,AL021,1992,Mar-Jul,1597.558,72.348,12.115,254.404
ec-earth3,AL021,1993,Apr-Aug,2237.995,295.748,1.274,118.236
