model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
IPSL-CM6A-LR,-6.5,-6.5577,11,CZ,CZE,hdd_calendar,0.058234740312606,Electricity
IPSL-CM6A-LR,-5.5,-5.5623,13,CZ,CZE,hdd_calendar,0.0354957028840901,Electricity
IPSL-CM6A-LR,-4.5,-4.3507,11,CZ,CZE,hdd_calendar,0.0180845733735271,Electricity
IPSL-CM6A-LR,-3.5,-3.4644,8,CZ,CZE,hdd_calendar,0.0249277858984484,Electricity
IPSL-CM6A-LR,-2.5,-2.5669,9,CZ,CZE,hdd_calendar,0.0114016140959701,Electricity
IPSL-CM6A-LR,-1.5,-1.2909,6,CZ,CZE,hdd_calendar,0.021850394217556,Electricity
IPSL-CM6A-LR,-0.5,-0.6347,8,CZ,CZE,hdd_calendar,-0.000531586749020253,Electricity
EC-Earth3,-9.5,-9.1554,4,DE,DEU,hdd_calendar,0.0398398370287957,Electricity
EC-Earth3,-8.5,-8.4726,15,DE,DEU,hdd_calendar,0.0614152025282652,Electricity
EC-Earth3,-7.5,-7.5562,20,DE,DEU,hdd_calendar,0.0416177012421401,Electricity
EC-Earth3,-6.5,-6.4767,21,DE,DEU,hdd_calendar,0.0300379596415107,Electricity
EC-Earth3,-5.5,-5.3342,8,DE,DEU,hdd_calendar,0.0241793968961901,Electricity
EC-Earth3,-4.5,-4.5495,8,DE,DEU,hdd_calendar,0.0387739236810968,Electricity
EC-Earth3,-3.5,-3.3459,9,DE,DEU,hdd_calendar,0.0325490784494768,Electricity
EC-Earth3,-2.5,-2.4493,5,DE,DEU,hdd_calendar,0.0195676894066181,Electricity
EC-Earth3,-1.5,-1.3807,6,DE,DEU,hdd_calendar,0.00630922141803758,Electricity
EC-Earth3,-0.5,-0.6596,3,DE,DEU,hdd_calendar,0.00139618638134561,Electricity
HadGEM3-GC3-1LL,-8.5,-8.3848,12,DE,DEU,hdd_calendar,0.0404665916169695,Electricity
HadGEM3-GC3-1LL,-7.5,-7.5599,19,DE,DEU,hdd_calendar,0.0312246127585077,Electricity
HadGEM3-GC3-1LL,-6.5,-6.5442,24,DE,DEU,hdd_calendar,0.0385543443013343,Electricity
HadGEM3-GC3-1LL,-5.5,-5.5797,10,DE,DEU,hdd_calendar,0.0266229886612159,Electricity
HadGEM3-GC3-1LL,-4.5,-4.5263,6,DE,DEU,hdd_calendar,0.0283321143334717,Electricity
HadGEM3-GC3-1LL,-3.5,-3.7835,7,DE,DEU,hdd_calendar,0.0348696379179392,Electricity
HadGEM3-GC3-1LL,-2.5,-2.4504,6,DE,DEU,hdd_calendar,0.0193983406039255,Electricity
HadGEM3-GC3-1LL,-1.5,-1.3098,8,DE,DEU,hdd_calendar,0.0108157895067742,Electricity
HadGEM3-GC3-1LL,-0.5,-0.331,6,DE,DEU,hdd_calendar,0.00409596340864422,Electricity
HadGEM3-GC3-1MM,-14.5,-14.3032,4,DE,DEU,hdd_calendar,0.0902897698172253,Electricity
HadGEM3-GC3-1MM,-13.5,-13.3931,8,DE,DEU,hdd_calendar,0.105091425508617,Electricity
HadGEM3-GC3-1MM,-12.5,-12.588,13,DE,DEU,hdd_calendar,0.0941272740747646,Electricity
HadGEM3-GC3-1MM,-11.5,-11.5321,21,DE,DEU,hdd_calendar,0.0896949801417324,Electricity
HadGEM3-GC3-1MM,-10.5,-10.4803,10,DE,DEU,hdd_calendar,0.0757423982679352,Electricity
HadGEM3-GC3-1MM,-9.5,-9.6161,7,DE,DEU,hdd_calendar,0.0567686411688897,Electricity
HadGEM3-GC3-1MM,-8.5,-8.6582,7,DE,DEU,hdd_calendar,0.0509233117110346,Electricity
HadGEM3-GC3-1MM,-7.5,-7.6345,8,DE,DEU,hdd_calendar,0.0458858464953006,Electricity
HadGEM3-GC3-1MM,-6.5,-6.4299,4,DE,DEU,hdd_calendar,0.0338040041467361,Electricity
HadGEM3-GC3-1MM,-5.5,-5.3528,4,DE,DEU,hdd_calendar,0.0242324045997844,Electricity
HadGEM3-GC3-1MM,-4.5,-4.3969,4,DE,DEU,hdd_calendar,0.0217948516870668,Electricity
IPSL-CM6A-LR,-9.5,-9.3401,5,DE,DEU,hdd_calendar,0.0732632070957838,Electricity
IPSL-CM6A-LR,-8.5,-8.4598,8,DE,DEU,hdd_calendar,0.0748310907223864,Electricity
IPSL-CM6A-LR,-7.5,-7.5255,19,DE,DEU,hdd_calendar,0.0573269554309037,Electricity
IPSL-CM6A-LR,-6.5,-6.5577,11,DE,DEU,hdd_calendar,0.0677498094921169,Electricity
IPSL-CM6A-LR,-5.5,-5.5623,13,DE,DEU,hdd_calendar,0.0398789963766338,Electricity
IPSL-CM6A-LR,-4.5,-4.3507,11,DE,DEU,hdd_calendar,0.0217758218469227,Electricity
IPSL-CM6A-LR,-3.5,-3.4644,8,DE,DEU,hdd_calendar,0.0311299108801805,Electricity
IPSL-CM6A-LR,-2.5,-2.5669,9,DE,DEU,hdd_calendar,0.0117176473667666,Electricity
IPSL-CM6A-LR,-1.5,-1.2909,6,DE,DEU,hdd_calendar,0.0238071314728816,Electricity
IPSL-CM6A-LR,-0.5,-0.6347,8,DE,DEU,hdd_calendar,0.001591871289938,Electricity
EC-Earth3,-9.5,-9.1554,4,DK,DNK,hdd_calendar,0.0433974852140886,Electricity
EC-Earth3,-8.5,-8.4726,15,DK,DNK,hdd_calendar,0.063615954149082,Electricity
EC-Earth3,-7.5,-7.5562,20,DK,DNK,hdd_calendar,0.0469469884041387,Electricity
EC-Earth3,-6.5,-6.4767,21,DK,DNK,hdd_calendar,0.0310885894741085,Electricity
EC-Earth3,-5.5,-5.3342,8,DK,DNK,hdd_calendar,0.0276454930983412,Electricity
EC-Earth3,-4.5,-4.5495,8,DK,DNK,hdd_calendar,0.0454862198522746,Electricity
EC-Earth3,-3.5,-3.3459,9,DK,DNK,hdd_calendar,0.0447481192650599,Electricity
EC-Earth3,-2.5,-2.4493,5,DK,DNK,hdd_calendar,0.037835758153523,Electricity
EC-Earth3,-1.5,-1.3807,6,DK,DNK,hdd_calendar,0.0123132571333138,Electricity
EC-Earth3,-0.5,-0.6596,3,DK,DNK,hdd_calendar,0.00860208417498767,Electricity
HadGEM3-GC3-1LL,-8.5,-8.3848,12,DK,DNK,hdd_calendar,0.044871058369458,Electricity
HadGEM3-GC3-1LL,-7.5,-7.5599,19,DK,DNK,hdd_calendar,0.0350008897634776,Electricity
HadGEM3-GC3-1LL,-6.5,-6.5442,24,DK,DNK,hdd_calendar,0.0439392112706881,Electricity
