branch,model,bin_id,component,n,mean,sd,lo,hi,central
energy Electricity,EC-Earth3,-7.5,cdd_jja,20,-0.00603154819509552,0.00504090226403857,-0.0138539159240266,0.00469380628144437,-0.00750282343481944
energy Electricity,EC-Earth3,-7.5,hdd_calendar,20,0.0414919502955821,0.017185490062709,0.0176228622940567,0.0773228701811443,0.0402424187726944
energy Electricity,EC-Earth3,-6.5,cdd_jja,21,-0.00297679334564299,0.00439047919805837,-0.0100091744035631,0.00663039679559183,-0.00429997784591972
energy Electricity,EC-Earth3,-6.5,hdd_calendar,21,0.0321438420448855,0.0169896711413574,-0.00979907724851616,0.066516821779778,0.0309616715016742
energy Electricity,EC-Earth3,-5.5,cdd_jja,8,-0.00269475384916036,0.00458847938487681,-0.0101647651825763,0.00316881714618803,-0.00405010070159186
energy Electricity,EC-Earth3,-5.5,hdd_calendar,8,0.0277636004567056,0.014261134724875,0.00479977915200464,0.0442292861597661,0.0266583300773519
energy Electricity,EC-Earth3,-4.5,cdd_jja,8,-0.00214527397720994,0.00906387130765656,-0.00999934439879647,0.0175318546990296,-0.00427417447418201
energy Electricity,EC-Earth3,-4.5,hdd_calendar,8,0.0376449830018715,0.0134502235603739,0.0194846751478386,0.060408714183883,0.0361751742096524
energy Electricity,EC-Earth3,-3.5,cdd_jja,9,-0.00222580988380917,0.00846963346377507,-0.0101670275257176,0.0130911202797026,-0.00451505038344885
energy Electricity,EC-Earth3,-3.5,hdd_calendar,9,0.0339268917609369,0.0201001094435778,0.00559945781743924,0.0694495346877756,0.032213080493396
energy Electricity,EC-Earth3,-2.5,cdd_jja,5,-0.00280455419348589,0.00244196317423932,-0.00545691657572835,-0.000135495304831357,-0.00360540050250956
energy Electricity,EC-Earth3,-2.5,hdd_calendar,5,0.0243805372836242,0.0162749801875659,0.00646727749153181,0.050298686405196,0.0235224592662177
energy Electricity,EC-Earth3,-1.5,cdd_jja,6,-0.00186390245620155,0.00298690577164282,-0.00613649872507336,0.00243282088570736,-0.00303024150402939
energy Electricity,EC-Earth3,-1.5,hdd_calendar,6,0.0093804929550875,0.0137310207943214,-0.00333543975659986,0.0271903042840188,0.00822912521418222
energy Electricity,EC-Earth3,-0.5,cdd_jja,3,0.0036447566366141,0.00484868874787172,-3.80094751911921e-05,0.00913822237203562,0.0029131983734817
energy Electricity,EC-Earth3,-0.5,hdd_calendar,3,0.00483568249935956,0.0110905520448325,-0.00223021149692197,0.0176182349584982,0.00423821415115326
energy Electricity,IPSL-CM6A-LR,-9.5,cdd_jja,5,-0.00839792026691835,0.00135374966527364,-0.0107003675298344,-0.0075102769938793,-0.00887136052535842
energy Electricity,IPSL-CM6A-LR,-9.5,hdd_calendar,5,0.0691660039507169,0.0293148618041096,0.0312781953385992,0.110662903364138,0.0685885054095861
energy Electricity,IPSL-CM6A-LR,-8.5,cdd_jja,8,-0.00807334719437002,0.00225914673542155,-0.0103555043845945,-0.00382613024750836,-0.00877638475497938
energy Electricity,IPSL-CM6A-LR,-8.5,hdd_calendar,8,0.0722967678140713,0.0301261497639452,0.0205936936963262,0.106069018266331,0.0715154218267031
energy Electricity,IPSL-CM6A-LR,-7.5,cdd_jja,19,-0.00592318151792605,0.00338524143822366,-0.0106468383946196,0.00267897199366678,-0.00672507342890543
energy Electricity,IPSL-CM6A-LR,-7.5,hdd_calendar,19,0.0569444283869064,0.0156334283691734,0.0243940050050009,0.088256545212538,0.0560735717170656
energy Electricity,IPSL-CM6A-LR,-6.5,cdd_jja,11,-0.00614919070258012,0.00238300248684187,-0.0110778632822987,-0.00226113932575312,-0.0067914455146378
energy Electricity,IPSL-CM6A-LR,-6.5,hdd_calendar,11,0.0652703830355019,0.0210328020483755,0.0301112791473432,0.101566803515351,0.0645327542624274
energy Electricity,IPSL-CM6A-LR,-5.5,cdd_jja,13,-0.00503422373938445,0.00227584910714197,-0.00931291172185666,-0.00113332477222243,-0.00577880560975145
energy Electricity,IPSL-CM6A-LR,-5.5,hdd_calendar,13,0.0396315033363156,0.0100267904504134,0.0246652904832828,0.0572174193565336,0.038812419629454
energy Electricity,IPSL-CM6A-LR,-4.5,cdd_jja,11,-0.00200505453452792,0.00335459453844786,-0.00868976668473656,0.00272359768834619,-0.00287962600916655
energy Electricity,IPSL-CM6A-LR,-4.5,hdd_calendar,11,0.0240118206202284,0.0108140487192404,0.010080748342285,0.0389307258658066,0.0230723960490761
energy Electricity,IPSL-CM6A-LR,-3.5,cdd_jja,8,-0.00358105001964034,0.00310958673288317,-0.00875598232665609,0.000798768705795376,-0.00440793079647037
energy Electricity,IPSL-CM6A-LR,-3.5,hdd_calendar,8,0.029638711498009,0.0134754324769861,0.0154872276783382,0.0484258000357275,0.0287689636278788
energy Electricity,IPSL-CM6A-LR,-2.5,cdd_jja,9,-0.00253939996042801,0.00320011677284254,-0.00651735533069441,0.00180460139820024,-0.00340812606338201
energy Electricity,IPSL-CM6A-LR,-2.5,hdd_calendar,9,0.0153351509719406,0.00583618631484178,0.00200417981963561,0.0218409650308271,0.0145146601191438
energy Electricity,IPSL-CM6A-LR,-1.5,cdd_jja,6,-0.00224034838352345,0.0037803202345763,-0.00565091971742822,0.00389663451225285,-0.00313823152502558
energy Electricity,IPSL-CM6A-LR,-1.5,hdd_calendar,6,0.0226943386028697,0.0120987341945429,0.00736585673384864,0.0401624366139357,0.0216958528528836
energy Electricity,IPSL-CM6A-LR,-0.5,cdd_jja,8,0.000610300007560457,0.00423501208797619,-0.0064777177684582,0.00566942834816363,-0.000207647358744587
energy Electricity,IPSL-CM6A-LR,-0.5,hdd_calendar,8,0.00508664309376303,0.0186998925159412,-0.0210300376333994,0.0319510927919552,0.00401930135459424
energy Natural gas,EC-Earth3,-9.5,hdd_octmar,4,0.0485242095261766,0.0178954585005087,0.0241120178302545,0.0664020282485954,0.0484521555138654
energy Natural gas,EC-Earth3,-8.5,hdd_octmar,15,0.0758093527202114,0.0411814936217437,-0.019912367309768,0.156171763675566,0.0757102445290502
energy Natural gas,EC-Earth3,-7.5,hdd_octmar,20,0.0523390220404879,0.0241666922402974,0.0116526553115806,0.109453174745224,0.0521940962247984
energy Natural gas,EC-Earth3,-6.5,hdd_octmar,21,0.0437846893719589,0.0274776679775843,-0.0171513791525341,0.0966409275538926,0.0435845046729828
energy Natural gas,EC-Earth3,-5.5,hdd_octmar,8,0.0364573971270981,0.0231008191200335,0.00967723188353605,0.0708430857507525,0.0362272599923065
energy Natural gas,EC-Earth3,-4.5,hdd_octmar,8,0.0501145794572306,0.0201422442638006,0.0203416936107828,0.0815526968128333,0.0499257926014346
energy Natural gas,EC-Earth3,-3.5,hdd_octmar,9,0.0464383348811736,0.0329797333015375,0.0144974531064009,0.102629062657794,0.0462496341551396
energy Natural gas,EC-Earth3,-2.5,hdd_octmar,5,0.03293905027912,0.0277358554324374,0.0135515574205706,0.0803598750728141,0.0328325989386261
energy Natural gas,EC-Earth3,-1.5,hdd_octmar,6,0.0121328365254693,0.0164347761302865,-0.00394463197438086,0.0356367714295331,0.0118530237001032
energy Natural gas,EC-Earth3,-0.5,hdd_octmar,3,0.00300462190065553,0.0190289666987454,-0.0134029373861923,0.023865240498115,0.00286579069340289
energy Natural gas,IPSL-CM6A-LR,-9.5,hdd_octmar,5,0.0960207040570679,0.047105712912826,0.0345805882494728,0.162634263524717,0.0959857844969267
energy Natural gas,IPSL-CM6A-LR,-8.5,hdd_octmar,8,0.0968764820478285,0.0449576654085364,0.0179605359885227,0.155437918342104,0.0967546908882204
energy Natural gas,IPSL-CM6A-LR,-7.5,hdd_octmar,19,0.0761583832618996,0.0264974046486945,0.0184755363884309,0.129833552672858,0.0760116633548904
energy Natural gas,IPSL-CM6A-LR,-6.5,hdd_octmar,11,0.0954914014193834,0.036347197248625,0.0315460132665591,0.155297968816143,0.0953661703411332
energy Natural gas,IPSL-CM6A-LR,-5.5,hdd_octmar,13,0.0536403598060475,0.0164001455436236,0.0295039983476051,0.0798374297728076,0.0535126917787674
energy Natural gas,IPSL-CM6A-LR,-4.5,hdd_octmar,11,0.0280433545768476,0.0133520559521022,0.00733173034560682,0.0548219494319738,0.0278882433915637
energy Natural gas,IPSL-CM6A-LR,-3.5,hdd_octmar,8,0.0338305890899456,0.0209816303114852,0.000637347666481196,0.0658537431146219,0.0337415131487968
energy Natural gas,IPSL-CM6A-LR,-2.5,hdd_octmar,9,0.0201254512813464,0.0134283527312869,-0.00640624443443317,0.0373502347879061,0.0199027576530714
energy Natural gas,IPSL-CM6A-LR,-1.5,hdd_octmar,6,0.0311592984741851,0.021406661546541,0.000183518098833902,0.0568147636060889,0.0310318525320547
energy Natural gas,IPSL-CM6A-LR,-0.5,hdd_octmar,8,0.00157118611101697,0.027497524040675,-0.03854151851171,0.0373248677135926,0.00141543419531477
