branch,model,bin_id,n,mean,sd,lo,hi,central
energy Natural gas,IPSL-CM6A-LR,-9.5,5,0.0960207040570679,0.047105712912826,0.0345805882494728,0.162634263524717,0.0959857844969267
energy Natural gas,IPSL-CM6A-LR,-8.5,8,0.0968764820478285,0.0449576654085364,0.0179605359885227,0.155437918342104,0.0967546908882204
energy Natural gas,IPSL-CM6A-LR,-7.5,19,0.0761583832618996,0.0264974046486945,0.0184755363884309,0.129833552672858,0.0760116633548904
energy Natural gas,IPSL-CM6A-LR,-6.5,11,0.0954914014193834,0.036347197248625,0.0315460132665591,0.155297968816143,0.0953661703411332
energy Natural gas,IPSL-CM6A-LR,-5.5,13,0.0536403598060475,0.0164001455436236,0.0295039983476051,0.0798374297728076,0.0535126917787674
energy Natural gas,IPSL-CM6A-LR,-4.5,11,0.0280433545768476,0.0133520559521022,0.00733173034560682,0.0548219494319738,0.0278882433915637
energy Natural gas,IPSL-CM6A-LR,-3.5,8,0.0338305890899456,0.0209816303114852,0.000637347666481196,0.0658537431146219,0.0337415131487968
energy Natural gas,IPSL-CM6A-LR,-2.5,9,0.0201254512813464,0.0134283527312869,-0.00640624443443317,0.0373502347879061,0.0199027576530714
energy Natural gas,IPSL-CM6A-LR,-1.5,6,0.0311592984741851,0.021406661546541,0.000183518098833902,0.0568147636060889,0.0310318525320547
energy Natural gas,IPSL-CM6A-LR,-0.5,8,0.00157118611101697,0.027497524040675,-0.03854151851171,0.0373248677135926,0.00141543419531477
