model,bin_id,delta_sv,n_years,cntr,country_id,component,dln,fuel
EC-Earth3,-3.5,-3.2771,5,NO,NOR,hdd_calendar,-0.0419460545171827,Electricity
EC-Earth3,-2.5,-2.5562,17,NO,NOR,hdd_calendar,-0.0389673533392902,Electricity
EC-Earth3,-1.5,-1.5166,7,NO,NOR,hdd_calendar,-0.0552657497583326,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,NO,NOR,hdd_calendar,-0.0356619949837626,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,NO,NOR,hdd_calendar,-0.0408440198862328,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,NO,NOR,hdd_calendar,-0.0289379565997633,Electricity
EC-Earth3,-3.5,-3.2771,5,PL,POL,hdd_calendar,-0.0272288309275075,Electricity
EC-Earth3,-2.5,-2.5562,17,PL,POL,hdd_calendar,-0.035463998909472,Electricity
EC-Earth3,-1.5,-1.5166,7,PL,POL,hdd_calendar,-0.0389265910862097,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,PL,POL,hdd_calendar,-0.0404245060351425,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,PL,POL,hdd_calendar,-0.0441868042153248,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,PL,POL,hdd_calendar,-0.0366799143663576,Electricity
EC-Earth3,-3.5,-3.2771,5,PT,PRT,hdd_calendar,-0.021535330145278,Electricity
EC-Earth3,-2.5,-2.5562,17,PT,PRT,hdd_calendar,-0.0216975217896795,Electricity
EC-Earth3,-1.5,-1.5166,7,PT,PRT,hdd_calendar,-0.0249901314570008,Electricity
IPSL-CM6A-LR,-3.5,-3.4513,9,PT,PRT,hdd_calendar,-0.0180546959653479,Electricity
IPSL-CM6A-LR,-2.5,-2.5185,16,PT,PRT,hdd_calendar,-0.0141109526394234,Electricity
IPSL-CM6A-LR,-1.5,-1.7768,5,PT,PRT,hdd_calendar,-0.0163900602327826,Electricity
EC-Earth3,-3.5,-3.2771,5,RO,ROU,hdd_calendar,-0.0263223320976856,Electricity
EC-Earth3,-2.5,-2.5562,17,RO,ROU,hdd_calendar,-0.0378807326924727,Electricity
EC-Earth3,-1.5,-1.5166,7,RO,ROU,hdd_calendar,-0.0337089108613148,Electricity
