model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-1.5,-1.5166,7,EE,Winter barley,gdd_mj,-0.177573948959353
IPSL-CM6A-LR,-4.5,-4.291,5,EE,Winter barley,gdd_mj,-0.138394848261725
IPSL-CM6A-LR,-3.5,-3.4498,14,EE,Winter barley,gdd_mj,-0.140930468455512
IPSL-CM6A-LR,-2.5,-2.5023,10,EE,Winter barley,gdd_mj,-0.1437323163885
EC-Earth3,-3.5,-3.2771,5,EL,Winter barley,gdd_mj,-0.182093195050914
EC-Earth3,-2.5,-2.5562,17,EL,Winter barley,gdd_mj,-0.180856696490254
EC-Earth3,-1.5,-1.5166,7,EL,Winter barley,gdd_mj,-0.184980126669219
IPSL-CM6A-LR,-4.5,-4.291,5,EL,Winter barley,gdd_mj,-0.144188125607851
IPSL-CM6A-LR,-3.5,-3.4498,14,EL,Winter barley,gdd_mj,-0.132083833192996
IPSL-CM6A-LR,-2.5,-2.5023,10,EL,Winter barley,gdd_mj,-0.160405965188596
EC-Earth3,-3.5,-3.2771,5,ES,Winter barley,gdd_mj,-0.20636351345398
EC-Earth3,-2.5,-2.5562,17,ES,Winter barley,gdd_mj,-0.20519111992817
EC-Earth3,-1.5,-1.5166,7,ES,Winter barley,gdd_mj,-0.262452285790249
IPSL-CM6A-LR,-4.5,-4.291,5,ES,Winter barley,gdd_mj,-0.17286808114926
IPSL-CM6A-LR,-3.5,-3.4498,14,ES,Winter barley,gdd_mj,-0.135864742711705
IPSL-CM6A-LR,-2.5,-2.5023,10,ES,Winter barley,gdd_mj,-0.15935651950681
EC-Earth3,-3.5,-3.2771,5,FR,Winter barley,gdd_mj,-0.118320018719795
EC-Earth3,-2.5,-2.5562,17,FR,Winter barley,gdd_mj,-0.152631488243496
EC-Earth3,-1.5,-1.5166,7,FR,Winter barley,gdd_mj,-0.183360564432529
IPSL-CM6A-LR,-4.5,-4.291,5,FR,Winter barley,gdd_mj,-0.190139095221758
IPSL-CM6A-LR,-3.5,-3.4498,14,FR,Winter barley,gdd_mj,-0.106779698708703
IPSL-CM6A-LR,-2.5,-2.5023,10,FR,Winter barley,gdd_mj,-0.125695808117398
EC-Earth3,-3.5,-3.2771,5,HU,Winter barley,gdd_mj,-0.13459234529374
EC-Earth3,-2.5,-2.5562,17,HU,Winter barley,gdd_mj,-0.143023640970286
EC-Earth3,-1.5,-1.5166,7,HU,Winter barley,gdd_mj,-0.204330261061218
IPSL-CM6A-LR,-4.5,-4.291,5,HU,Winter barley,gdd_mj,-0.182774732177329
IPSL-CM6A-LR,-3.5,-3.4498,14,HU,Winter barley,gdd_mj,-0.1403696563519
IPSL-CM6A-LR,-2.5,-2.5023,10,HU,Winter barley,gdd_mj,-0.195919486738513
EC-Earth3,-3.5,-3.2771,5,IT,Winter barley,gdd_mj,-0.166080773440661
EC-Earth3,-2.5,-2.5562,17,IT,Winter barley,gdd_mj,-0.172213287617009
EC-Earth3,-1.5,-1.5166,7,IT,Winter barley,gdd_mj,-0.21873267560239
IPSL-CM6A-LR,-4.5,-4.291,5,IT,Winter barley,gdd_mj,-0.17356350467197
IPSL-CM6A-LR,-3.5,-3.4498,14,IT,Winter barley,gdd_mj,-0.136067792219069
IPSL-CM6A-LR,-2.5,-2.5023,10,IT,Winter barley,gdd_mj,-0.172162600338633
EC-Earth3,-3.5,-3.2771,5,LT,Winter barley,gdd_mj,-0.166545814757372
EC-Earth3,-2.5,-2.5562,17,LT,Winter barley,gdd_mj,-0.126443319518967
EC-Earth3,-1.5,-1.5166,7,LT,Winter barley,gdd_mj,-0.159683386194254
IPSL-CM6A-LR,-4.5,-4.291,5,LT,Winter barley,gdd_mj,-0.152297679725028
IPSL-CM6A-LR,-3.5,-3.4498,14,LT,Winter barley,gdd_mj,-0.145474467994215
IPSL-CM6A-LR,-2.5,-2.5023,10,LT,Winter barley,gdd_mj,-0.166813021142623
EC-Earth3,-3.5,-3.2771,5,LV,Winter barley,gdd_mj,-0.185382828660518
EC-Earth3,-2.5,-2.5562,17,LV,Winter barley,gdd_mj,-0.132963767266803
EC-Earth3,-1.5,-1.5166,7,LV,Winter barley,gdd_mj,-0.167509821885715
IPSL-CM6A-LR,-4.5,-4.291,5,LV,Winter barley,gdd_mj,-0.145072510351131
IPSL-CM6A-LR,-3.5,-3.4498,14,LV,Winter barley,gdd_mj,-0.146445770773008
IPSL-CM6A-LR,-2.5,-2.5023,10,LV,Winter barley,gdd_mj,-0.160432314408838
EC-Earth3,-3.5,-3.2771,5,SE,Winter barley,gdd_mj,-0.147465232005296
EC-Earth3,-2.5,-2.5562,17,SE,Winter barley,gdd_mj,-0.138302041794507
EC-Earth3,-1.5,-1.5166,7,SE,Winter barley,gdd_mj,-0.186685101731927
IPSL-CM6A-LR,-4.5,-4.291,5,SE,Winter barley,gdd_mj,-0.158993020502378
IPSL-CM6A-LR,-3.5,-3.4498,14,SE,Winter barley,gdd_mj,-0.114813548831576
IPSL-CM6A-LR,-2.5,-2.5023,10,SE,Winter barley,gdd_mj,-0.125808664033358
EC-Earth3,-3.5,-3.2771,5,SK,Winter barley,gdd_mj,-0.11489859696733
EC-Earth3,-2.5,-2.5562,17,SK,Winter barley,gdd_mj,-0.134876021498925
EC-Earth3,-1.5,-1.5166,7,SK,Winter barley,gdd_mj,-0.197338660472901
IPSL-CM6A-LR,-4.5,-4.291,5,SK,Winter barley,gdd_mj,-0.1801344686436
IPSL-CM6A-LR,-3.5,-3.4498,14,SK,Winter barley,gdd_mj,-0.135131401882181
