branch,model,bin_id,component,crop,n,mean,sd,lo,hi,central
crop,IPSL-CM6A-LR,-1.5,precip_mj2,Durum wheat,5,0.00903177750098076,0.0376867302588187,-0.0410656994686736,0.0611339361204494,0.02085451832325
crop,IPSL-CM6A-LR,-1.5,frost_mj,Soft wheat,5,0.0135450917001631,0.0229433687883552,-0.0248053527504827,0.0350452973160426,0.01902430760455
crop,IPSL-CM6A-LR,-1.5,gdd_mj,Soft wheat,5,-0.0632379311777722,0.0555742499979153,-0.119158005701089,0.0105609285168322,-0.0613756037357281
crop,IPSL-CM6A-LR,-1.5,heat_mj,Soft wheat,5,-0.0410910435511383,0.0285616934482136,-0.080487488494881,-0.00977353503448097,-0.0343640425105608
crop,IPSL-CM6A-LR,-1.5,precip_mj,Soft wheat,5,0.0109952572490527,0.0380977255268535,-0.0383832767002161,0.0658034547109782,0.0109171169416799
crop,IPSL-CM6A-LR,-1.5,precip_mj2,Soft wheat,5,-0.0218460971731839,0.0384051216411905,-0.0776071257499628,0.0270009612504748,-0.0127645628946402
crop,IPSL-CM6A-LR,-1.5,frost_mj,Spring barley,5,0.0100604173261983,0.0136041234495386,-0.0116407403210727,0.0249226545729768,0.012962913330982
crop,IPSL-CM6A-LR,-1.5,gdd_mj,Spring barley,5,-0.133452335341999,0.060358693436388,-0.20010521234051,-0.0579734171213222,-0.128823028441795
crop,IPSL-CM6A-LR,-1.5,heat_mj,Spring barley,5,-0.0566604212465314,0.0165622627312341,-0.0822124567752231,-0.042884596624337,-0.051012060868485
crop,IPSL-CM6A-LR,-1.5,precip_mj,Spring barley,5,-0.00827823209343778,0.0295281146970431,-0.047270330638344,0.0219510686467898,-0.00857678964413886
crop,IPSL-CM6A-LR,-1.5,precip_mj2,Spring barley,5,-0.0100598097624604,0.0255565217579043,-0.0367289317053435,0.0292323879228612,-0.000692344777217857
crop,IPSL-CM6A-LR,-1.5,frost_mj,Winter barley,5,0.0120017521103208,0.0254545971221793,-0.0285570742494726,0.0405192794366261,0.018498283498231
crop,IPSL-CM6A-LR,-1.5,gdd_mj,Winter barley,5,-0.130882806426793,0.118241188610708,-0.259226279586945,0.0241677985794646,-0.126589658704578
crop,IPSL-CM6A-LR,-1.5,heat_mj,Winter barley,5,0.0340728545094622,0.0166735466118342,0.012299599552653,0.0531390539801831,0.0288654969847628
crop,IPSL-CM6A-LR,-1.5,precip_mj,Winter barley,5,0.00512558696926453,0.0296611585335741,-0.0337774495332296,0.0424192459018898,0.00494943518025329
crop,IPSL-CM6A-LR,-1.5,precip_mj2,Winter barley,5,-0.0174066941003076,0.0295347138305182,-0.0538643154571711,0.0231426875530798,-0.00930761008887687
crop_gddwin,EC-Earth3,-3.5,frost,ALL,5,-0.00103922335068289,0.00201351442705083,-0.00327052123025322,0.00132745272867709,-0.00191774725837505
crop_gddwin,EC-Earth3,-3.5,gdd,ALL,5,8.24854625116757e-05,5.70698548461874e-05,-1.3132345306167e-05,0.000137872214857269,4.74118431832479e-05
crop_gddwin,EC-Earth3,-3.5,heat,ALL,5,-0.00741291485714478,0.00586451833754156,-0.0166465996660506,-0.000999876964904759,-0.00558837533281202
crop_gddwin,EC-Earth3,-3.5,precip,ALL,5,0.0293722295244998,0.0567095624036186,-0.0413359069886898,0.114769685116859,0.0231778661880385
crop_gddwin,EC-Earth3,-3.5,precip2,ALL,5,-0.0345647942804297,0.0514287418868114,-0.11483621948956,0.0242277257124471,-0.0196114134618357
