model,bin_id,component,dsv_amoc,n_amoc,dln_amoc,dsv_isimip,n_isimip,dln_isimip,branch,fuel,dln_residual,pct_amoc,pct_isimip,pct_residual
EC-Earth3,-3.5,frost,-3.3459,9,-0.00142130042200162,-3.4737,8,-0.00227947517853763,crop (spec C),,-0.00085817475653601,-0.142029085291384,-0.227687914789665,-0.0857806629892877
EC-Earth3,-3.5,gdd,-3.3459,9,-0.00010748398337242,-3.4737,8,0.000282465402188269,crop (spec C),,0.000389949385560689,-0.0107478207176048,0.028250529929652,0.0390025425705876
EC-Earth3,-3.5,heat,-3.3459,9,0.00339100568684423,-3.4737,8,-0.0143204572167328,crop (spec C),,-0.017711462903577,0.339676165095848,-1.42184071844351,-1.7555536861022
EC-Earth3,-3.5,precip,-3.3459,9,-0.0434029946303208,-3.4737,8,-0.00733086843774858,crop (spec C),,0.0360721261925722,-4.24745653052948,-0.730406316369792,3.67306192266428
EC-Earth3,-3.5,precip2,-3.3459,9,0.02961954165848,-3.4737,8,0.00095089657761492,crop (spec C),,-0.0286686450808651,3.00625634994596,0.0951348823100551,-2.82615985746136
EC-Earth3,-4.5,frost,-4.5495,8,-0.000985529563208792,-4.5546,8,-0.00187300130107835,crop (spec C),,-0.000887471737869558,-0.0985044088445131,-0.187124832875207,-0.0887078051297285
EC-Earth3,-4.5,gdd,-4.5495,8,-0.000215815701796026,-4.5546,8,0.000259115358422466,crop (spec C),,0.000474931060218492,-0.0215792415262706,0.0259148931706754,0.0475043857830704
EC-Earth3,-4.5,heat,-4.5495,8,0.00250565550158939,-4.5546,8,-0.0114111541446297,crop (spec C),,-0.0139168096462191,0.250879727985898,-1.13462938697968,-1.38204185212631
EC-Earth3,-4.5,precip,-4.5495,8,-0.0505047259282255,-4.5546,8,0.0149247125645718,crop (spec C),,0.0654294384927973,-4.92505645118828,1.50366422332731,6.7617401962643
EC-Earth3,-4.5,precip2,-4.5495,8,0.0320187415232283,-4.5546,8,-0.012603662428531,crop (spec C),,-0.0446224039517593,3.25368564372619,-1.25245689132587,-4.36414691345778
IPSL-CM6A-LR,-2.5,frost,-2.5669,9,-0.00171528617021828,-2.2964,6,-5.57650064675871e-05,crop (spec C),,0.00165952116375069,-0.171381590765596,-0.00557634516284988,0.166089893103649
IPSL-CM6A-LR,-2.5,gdd,-2.5669,9,-8.87139148902229e-05,-2.2964,6,0.000177779031531314,crop (spec C),,0.000266492946421537,-0.00887099799272706,0.0177794835159784,0.0266528458821247
IPSL-CM6A-LR,-2.5,heat,-2.5669,9,0.00398920613963384,-2.2964,6,-0.0136709953815661,crop (spec C),,-0.0176602015211999,0.399717361355512,-1.35779717154053,-1.75051741089116
IPSL-CM6A-LR,-2.5,precip,-2.5669,9,-0.038322224242692,-2.2964,6,0.013240701642812,crop (spec C),,0.051562925885504,-3.75972185839744,1.33287479017368,5.29154398439928
