model,bin_id,delta_sv,n_years,component,dln,spec,branch
IPSL-CM6A-LR,-2.5,-2.5669,9,precip_mj,-0.0264909203481779,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-1.5,-1.2909,6,precip_mj,-0.00867046827933937,benchmark,NAHosMIP (A)
IPSL-CM6A-LR,-0.5,-0.6347,8,precip_mj,-0.013653397943044,benchmark,NAHosMIP (A)
EC-Earth3,-9.5,-9.1554,4,precip_mj2,0.00683526587933535,benchmark,NAHosMIP (A)
EC-Earth3,-8.5,-8.4726,15,precip_mj2,0.0292807961681736,benchmark,NAHosMIP (A)
EC-Earth3,-7.5,-7.5562,20,precip_mj2,0.025302400430482,benchmark,NAHosMIP (A)
EC-Earth3,-6.5,-6.4767,21,precip_mj2,0.0345061790605187,benchmark,NAHosMIP (A)
EC-Earth3,-5.5,-5.3342,8,precip_mj2,0.0228733380413699,benchmark,NAHosMIP (A)
EC-Earth3,-4.5,-4.5495,8,precip_mj2,0.0322646402763554,benchmark,NAHosMIP (A)
EC-Earth3,-3.5,-3.3459,9,precip_mj2,0.0194482586412002,benchmark,NAHosMIP (A)
EC-Earth3,-2.5,-2.4493,5,precip_mj2,0.0325098762885144,benchmark,NAHosMIP (A)
EC-Earth3,-1.5,-1.3807,6,precip_mj2,0.00372073831169028,benchmark,NAHosMIP (A)
EC-Earth3,-0.5,-0.6596,3,precip_mj2,0.0173710762355314,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-8.5,-8.3848,12,precip_mj2,0.0378837350946665,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-7.5,-7.5599,19,precip_mj2,0.0282909250986218,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-6.5,-6.5442,24,precip_mj2,0.0182665901871985,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-5.5,-5.5797,10,precip_mj2,0.0180628573693814,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-4.5,-4.5263,6,precip_mj2,0.0369093909662835,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-3.5,-3.7835,7,precip_mj2,0.0119387643623036,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-2.5,-2.4504,6,precip_mj2,0.0357577372256306,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-1.5,-1.3098,8,precip_mj2,0.000733021943360423,benchmark,NAHosMIP (A)
HadGEM3-GC3-1LL,-0.5,-0.331,6,precip_mj2,0.00854540090199867,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-14.5,-14.3032,4,precip_mj2,0.0480986293983676,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-13.5,-13.3931,8,precip_mj2,0.0472214207421878,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-12.5,-12.588,13,precip_mj2,0.0567544178386327,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-11.5,-11.5321,21,precip_mj2,0.0598197125423666,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-10.5,-10.4803,10,precip_mj2,0.0524618524818163,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-9.5,-9.6161,7,precip_mj2,0.0436447155224538,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-8.5,-8.6582,7,precip_mj2,0.0456001290453041,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-7.5,-7.6345,8,precip_mj2,0.0313494283709889,benchmark,NAHosMIP (A)
HadGEM3-GC3-1MM,-6.5,-6.4299,4,precip_mj2,0.0307954515155038,benchmark,NAHosMIP (A)
