branch,model,bin_id,crop,n,mean,sd,lo,hi,central
crop,IPSL-CM6A-LR,-3.5,ALL,7,-0.263713370846272,0.0582215357523142,-0.379762172935326,-0.221231079746781,-0.250536013912004
crop,IPSL-CM6A-LR,-3.5,Durum wheat,7,-0.112939916872072,0.0210839256567814,-0.139481433002073,-0.0785323169324617,-0.104918832078624
crop,IPSL-CM6A-LR,-3.5,Soft wheat,7,-0.245277628557698,0.0599555663359572,-0.365439035023255,-0.199830598291135,-0.228860533678983
crop,IPSL-CM6A-LR,-3.5,Spring barley,7,-0.416982243887543,0.105010577559571,-0.627423616992165,-0.32243898823702,-0.401588360291025
crop,IPSL-CM6A-LR,-3.5,Winter barley,7,-0.230145000559627,0.0294433562703165,-0.267079595715128,-0.196168601872287,-0.229773861486493
crop,IPSL-CM6A-LR,-2.5,ALL,6,-0.21608997510416,0.0673433497445076,-0.330038914203238,-0.142332718899759,-0.19821244586059
crop,IPSL-CM6A-LR,-2.5,Durum wheat,6,-0.114946919678052,0.0468990853138496,-0.200639246233876,-0.0746371697294965,-0.100588267396327
crop,IPSL-CM6A-LR,-2.5,Soft wheat,6,-0.196118159608527,0.0613385248274718,-0.294026103590439,-0.130626494020384,-0.176384216068401
crop,IPSL-CM6A-LR,-2.5,Spring barley,6,-0.341613995659514,0.114262192063086,-0.549165637901056,-0.224416329037747,-0.31978220441684
crop,IPSL-CM6A-LR,-2.5,Winter barley,6,-0.192437006406009,0.0489167001988669,-0.259067133431008,-0.116310990999842,-0.185335410650932
crop_gddwin,EC-Earth3,-4.5,ALL,8,-0.0231004286348989,0.0188921336560312,-0.0568238351525375,0.00107739871287464,-0.0107039899512448
crop_gddwin,EC-Earth3,-4.5,Durum wheat,8,-0.0143844868228514,0.0245033764010288,-0.0446959991836573,0.0190660438292253,-0.00271365009877882
crop_gddwin,EC-Earth3,-4.5,Soft wheat,8,-0.0244994958959824,0.0153339606512982,-0.054063217942576,-0.00515069770894888,-0.013177960201613
crop_gddwin,EC-Earth3,-4.5,Spring barley,8,-0.0316597102295508,0.0435150074562781,-0.100044475412335,0.0170935680012161,-0.0127599344834003
crop_gddwin,EC-Earth3,-4.5,Winter barley,8,-0.0114036658789239,0.0109426944773093,-0.0255610832019272,0.00563010803223111,-0.00336184995110627
crop_gddwin,EC-Earth3,-3.5,ALL,8,-0.0394662085418055,0.0254689674182152,-0.0938345502047146,-0.0181717623802028,-0.0226974388532158
crop_gddwin,EC-Earth3,-3.5,Durum wheat,8,-0.0191804261253405,0.0301827397890266,-0.0683909870571863,0.0283779058103133,-0.00748823083369228
