model,bin_id,delta_sv,n_years,hos_year,fuel,component,dln,branch
EC-Earth3,-7.5,-7.5061,1,78,Electricity,cdd_jja,-0.00458476461641595,energy Electricity
EC-Earth3,-8.5,-8.0807,1,79,Electricity,cdd_jja,-0.00100520763500568,energy Electricity
EC-Earth3,-9.5,-9.0422,1,80,Electricity,cdd_jja,-0.00769583213119566,energy Electricity
EC-Earth3,-8.5,-8.9544,1,81,Electricity,cdd_jja,-0.00793169700166913,energy Electricity
EC-Earth3,-9.5,-9.0564,1,82,Electricity,cdd_jja,-0.0105830322535222,energy Electricity
EC-Earth3,-7.5,-7.7863,1,83,Electricity,cdd_jja,-0.009231557948637,energy Electricity
EC-Earth3,-8.5,-8.1585,1,84,Electricity,cdd_jja,0.000459457528904979,energy Electricity
EC-Earth3,-8.5,-8.7355,1,85,Electricity,cdd_jja,-0.0110308233786656,energy Electricity
EC-Earth3,-8.5,-8.4153,1,86,Electricity,cdd_jja,-0.00871852086358374,energy Electricity
EC-Earth3,-8.5,-8.2917,1,87,Electricity,cdd_jja,-0.00634119156529583,energy Electricity
EC-Earth3,-7.5,-7.7779,1,88,Electricity,cdd_jja,-0.0116130059725359,energy Electricity
EC-Earth3,-6.5,-6.3297,1,89,Electricity,cdd_jja,-0.00479037515357954,energy Electricity
EC-Earth3,-6.5,-6.6027,1,90,Electricity,cdd_jja,-0.0086191241679917,energy Electricity
EC-Earth3,-6.5,-6.8486,1,91,Electricity,cdd_jja,0.00065397585220255,energy Electricity
EC-Earth3,-8.5,-8.4349,1,92,Electricity,cdd_jja,-0.00750588076871148,energy Electricity
EC-Earth3,-8.5,-8.8942,1,93,Electricity,cdd_jja,-0.00861733619449137,energy Electricity
EC-Earth3,-7.5,-7.973,1,94,Electricity,cdd_jja,-0.0099111923301761,energy Electricity
EC-Earth3,-9.5,-9.4034,1,95,Electricity,cdd_jja,-0.00511623027022375,energy Electricity
EC-Earth3,-8.5,-8.7768,1,96,Electricity,cdd_jja,-0.00882542084663866,energy Electricity
EC-Earth3,-8.5,-8.4777,1,97,Electricity,cdd_jja,-0.00615462014730575,energy Electricity
EC-Earth3,-8.5,-8.3893,1,98,Electricity,cdd_jja,-0.0116079468777589,energy Electricity
EC-Earth3,-7.5,-7.4134,1,99,Electricity,cdd_jja,-0.0138539159240266,energy Electricity
EC-Earth3,-8.5,-8.0258,1,100,Electricity,cdd_jja,-0.00676236766752932,energy Electricity
EC-Earth3,-1.5,-1.0275,1,1,Natural gas,hdd_octmar,-0.000981592991223505,energy Natural gas
EC-Earth3,-0.5,-0.427,1,2,Natural gas,hdd_octmar,-0.0134029373861923,energy Natural gas
EC-Earth3,-1.5,-1.3474,1,3,Natural gas,hdd_octmar,0.0165066728417091,energy Natural gas
EC-Earth3,-0.5,-0.6618,1,4,Natural gas,hdd_octmar,-0.00144843740995608,energy Natural gas
EC-Earth3,-1.5,-1.6418,1,5,Natural gas,hdd_octmar,-0.000393559649625631,energy Natural gas
EC-Earth3,-1.5,-1.4487,1,6,Natural gas,hdd_octmar,-0.00394463197438086,energy Natural gas
EC-Earth3,-0.5,-0.8901,1,8,Natural gas,hdd_octmar,0.023865240498115,energy Natural gas
EC-Earth3,-1.5,-1.2916,1,9,Natural gas,hdd_octmar,0.0259733594968039,energy Natural gas
EC-Earth3,-2.5,-2.6913,1,10,Natural gas,hdd_octmar,0.0198157859130044,energy Natural gas
EC-Earth3,-1.5,-1.5274,1,11,Natural gas,hdd_octmar,0.0356367714295331,energy Natural gas
EC-Earth3,-2.5,-2.1055,1,12,Natural gas,hdd_octmar,0.0346798328733254,energy Natural gas
EC-Earth3,-3.5,-3.4794,1,13,Natural gas,hdd_octmar,0.0224418347410927,energy Natural gas
EC-Earth3,-2.5,-2.0746,1,14,Natural gas,hdd_octmar,0.0135515574205706,energy Natural gas
EC-Earth3,-3.5,-3.1651,1,15,Natural gas,hdd_octmar,0.0144974531064009,energy Natural gas
EC-Earth3,-3.5,-3.1261,1,16,Natural gas,hdd_octmar,0.0163004884022668,energy Natural gas
EC-Earth3,-2.5,-2.9432,1,17,Natural gas,hdd_octmar,0.0162882001158857,energy Natural gas
EC-Earth3,-3.5,-3.0673,1,18,Natural gas,hdd_octmar,0.102629062657794,energy Natural gas
EC-Earth3,-3.5,-3.5498,1,19,Natural gas,hdd_octmar,0.0379011955270115,energy Natural gas
EC-Earth3,-4.5,-4.0869,1,20,Natural gas,hdd_octmar,0.0621552841532328,energy Natural gas
EC-Earth3,-2.5,-2.4319,1,21,Natural gas,hdd_octmar,0.0803598750728141,energy Natural gas
EC-Earth3,-3.5,-3.1533,1,22,Natural gas,hdd_octmar,0.0949366599178835,energy Natural gas
EC-Earth3,-4.5,-4.2706,1,23,Natural gas,hdd_octmar,0.0680518652992431,energy Natural gas
EC-Earth3,-5.5,-5.0118,1,24,Natural gas,hdd_octmar,0.019354971898078,energy Natural gas
EC-Earth3,-4.5,-4.5954,1,25,Natural gas,hdd_octmar,0.0815526968128333,energy Natural gas
EC-Earth3,-3.5,-3.0837,1,26,Natural gas,hdd_octmar,0.0263542057774649,energy Natural gas
EC-Earth3,-3.5,-3.583,1,27,Natural gas,hdd_octmar,0.0604182992512724,energy Natural gas
EC-Earth3,-5.5,-5.0621,1,28,Natural gas,hdd_octmar,0.0708430857507525,energy Natural gas
EC-Earth3,-6.5,-6.0801,1,29,Natural gas,hdd_octmar,0.0928525715948297,energy Natural gas
EC-Earth3,-5.5,-5.4695,1,30,Natural gas,hdd_octmar,0.0537741429365469,energy Natural gas
EC-Earth3,-4.5,-4.6618,1,31,Natural gas,hdd_octmar,0.0287484829150259,energy Natural gas
EC-Earth3,-4.5,-4.6709,1,32,Natural gas,hdd_octmar,0.0203416936107828,energy Natural gas
EC-Earth3,-6.5,-6.3408,1,33,Natural gas,hdd_octmar,0.0314184557218121,energy Natural gas
EC-Earth3,-5.5,-5.064,1,34,Natural gas,hdd_octmar,0.0242233311292485,energy Natural gas
EC-Earth3,-3.5,-3.9051,1,35,Natural gas,hdd_octmar,0.0424658145493758,energy Natural gas
EC-Earth3,-5.5,-5.2512,1,36,Natural gas,hdd_octmar,0.0390711311289541,energy Natural gas
EC-Earth3,-4.5,-4.7716,1,37,Natural gas,hdd_octmar,0.0480947876201565,energy Natural gas
EC-Earth3,-4.5,-4.4358,1,38,Natural gas,hdd_octmar,0.044610438111302,energy Natural gas
EC-Earth3,-4.5,-4.9035,1,39,Natural gas,hdd_octmar,0.0473613871352683,energy Natural gas
EC-Earth3,-6.5,-6.18,1,40,Natural gas,hdd_octmar,0.0400609729694483,energy Natural gas
EC-Earth3,-6.5,-6.008,1,41,Natural gas,hdd_octmar,0.0966409275538926,energy Natural gas
EC-Earth3,-6.5,-6.2364,1,42,Natural gas,hdd_octmar,0.0231320139869251,energy Natural gas
EC-Earth3,-6.5,-6.8341,1,43,Natural gas,hdd_octmar,0.0291553607095996,energy Natural gas
EC-Earth3,-6.5,-6.675,1,44,Natural gas,hdd_octmar,0.0372709423313471,energy Natural gas
