model,bin_id,delta_sv,n_years,cntr,crop,component,dln
EC-Earth3,-4.5,-4.5546,8,IT,Durum wheat,gdd,0.00113330417564972
EC-Earth3,-3.5,-3.4737,8,IT,Durum wheat,gdd,0.00129018817775968
EC-Earth3,-2.5,-2.5448,11,IT,Durum wheat,gdd,0.00154238782303116
IPSL-CM6A-LR,-5.5,-5.3985,4,IT,Durum wheat,gdd,-0.000574659162212579
IPSL-CM6A-LR,-4.5,-4.3046,12,IT,Durum wheat,gdd,0.00112132250334494
IPSL-CM6A-LR,-3.5,-3.5013,7,IT,Durum wheat,gdd,0.00162029035706093
IPSL-CM6A-LR,-2.5,-2.2964,6,IT,Durum wheat,gdd,0.00120713682577534
EC-Earth3,-4.5,-4.5546,8,RO,Durum wheat,gdd,0.00176790571593931
EC-Earth3,-3.5,-3.4737,8,RO,Durum wheat,gdd,0.00234009920852325
EC-Earth3,-2.5,-2.5448,11,RO,Durum wheat,gdd,0.00164321255150576
IPSL-CM6A-LR,-5.5,-5.3985,4,RO,Durum wheat,gdd,0.000875378270770545
IPSL-CM6A-LR,-4.5,-4.3046,12,RO,Durum wheat,gdd,0.00215821174145024
IPSL-CM6A-LR,-3.5,-3.5013,7,RO,Durum wheat,gdd,0.00163052846854336
IPSL-CM6A-LR,-2.5,-2.2964,6,RO,Durum wheat,gdd,0.00148614089775057
EC-Earth3,-4.5,-4.5546,8,SK,Durum wheat,gdd,0.00212594826194466
EC-Earth3,-3.5,-3.4737,8,SK,Durum wheat,gdd,0.00238012837121732
EC-Earth3,-2.5,-2.5448,11,SK,Durum wheat,gdd,0.00336961038826602
IPSL-CM6A-LR,-5.5,-5.3985,4,SK,Durum wheat,gdd,0.00203008199675439
IPSL-CM6A-LR,-4.5,-4.3046,12,SK,Durum wheat,gdd,0.00299463286711863
IPSL-CM6A-LR,-3.5,-3.5013,7,SK,Durum wheat,gdd,0.00187626234433133
IPSL-CM6A-LR,-2.5,-2.2964,6,SK,Durum wheat,gdd,0.00187527003402478
EC-Earth3,-4.5,-4.5546,8,CZ,Spring barley,gdd,-0.000737798352992729
EC-Earth3,-3.5,-3.4737,8,CZ,Spring barley,gdd,-0.000304424267065252
EC-Earth3,-2.5,-2.5448,11,CZ,Spring barley,gdd,-0.000688344877696222
IPSL-CM6A-LR,-5.5,-5.3985,4,CZ,Spring barley,gdd,2.5141766124493e-05
IPSL-CM6A-LR,-4.5,-4.3046,12,CZ,Spring barley,gdd,-0.000787354819080732
IPSL-CM6A-LR,-3.5,-3.5013,7,CZ,Spring barley,gdd,-0.00104860994490474
IPSL-CM6A-LR,-2.5,-2.2964,6,CZ,Spring barley,gdd,-0.000490833256914321
EC-Earth3,-4.5,-4.5546,8,DE,Spring barley,gdd,-0.000409946153175985
EC-Earth3,-3.5,-3.4737,8,DE,Spring barley,gdd,-0.000256479100161417
EC-Earth3,-2.5,-2.5448,11,DE,Spring barley,gdd,-0.000570427847684884
IPSL-CM6A-LR,-5.5,-5.3985,4,DE,Spring barley,gdd,0.000283985085780932
IPSL-CM6A-LR,-4.5,-4.3046,12,DE,Spring barley,gdd,-0.000459992069721184
IPSL-CM6A-LR,-3.5,-3.5013,7,DE,Spring barley,gdd,-0.000724747775606529
IPSL-CM6A-LR,-2.5,-2.2964,6,DE,Spring barley,gdd,-0.000311810391006453
EC-Earth3,-4.5,-4.5546,8,DK,Spring barley,gdd,-0.000366916394191213
EC-Earth3,-3.5,-3.4737,8,DK,Spring barley,gdd,-4.12142324031813e-05
EC-Earth3,-2.5,-2.5448,11,DK,Spring barley,gdd,1.31162851236793e-05
IPSL-CM6A-LR,-5.5,-5.3985,4,DK,Spring barley,gdd,7.20443052701342e-05
IPSL-CM6A-LR,-4.5,-4.3046,12,DK,Spring barley,gdd,6.45787270685792e-05
IPSL-CM6A-LR,-3.5,-3.5013,7,DK,Spring barley,gdd,-0.000427466978080373
IPSL-CM6A-LR,-2.5,-2.2964,6,DK,Spring barley,gdd,2.81403484081868e-06
EC-Earth3,-4.5,-4.5546,8,EE,Spring barley,gdd,-0.000451926950811057
EC-Earth3,-3.5,-3.4737,8,EE,Spring barley,gdd,-0.00053652966468051
EC-Earth3,-2.5,-2.5448,11,EE,Spring barley,gdd,-0.000285179964138606
IPSL-CM6A-LR,-5.5,-5.3985,4,EE,Spring barley,gdd,-0.00103007549617636
IPSL-CM6A-LR,-4.5,-4.3046,12,EE,Spring barley,gdd,-0.000700356116057702
IPSL-CM6A-LR,-3.5,-3.5013,7,EE,Spring barley,gdd,-0.000721004343142964
IPSL-CM6A-LR,-2.5,-2.2964,6,EE,Spring barley,gdd,-0.000806597686740525
EC-Earth3,-4.5,-4.5546,8,ES,Spring barley,gdd,-0.000634093242594559
EC-Earth3,-3.5,-3.4737,8,ES,Spring barley,gdd,-0.000410834210268546
EC-Earth3,-2.5,-2.5448,11,ES,Spring barley,gdd,-0.000691439951318489
IPSL-CM6A-LR,-5.5,-5.3985,4,ES,Spring barley,gdd,-0.000187209755575722
